Table 2.8 Full-Time Equivalent Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
United States,,,,,
,2018,2019,2020,2021,2022
Master's Degree Programs,,,,,
MDiv,20819,20872,21035,19278,18576
MA (prof),7835,7919,8037,7919,7872
MA (acad),7112,6574,6744,5786,5616
MA (both),0,0,0,918,1764
Subtotal MA,14946,14494,14781,14623,15253
ThM/MTh/STM,1005,700,746,675,673
Doctoral Degree Programs,,,,,
DMin,2814,3026,3061,3336,3527
Other Prof Dr,1158,1401,1528,1552,1455
Subtotal DMin and Other Prof Dr,3972,4427,4589,4888,4982
PhD/ThD,3718,3807,3678,3773,3879
Non-Degree Programs,,,,,
NonDegree,1992,1808,1787,2101,2016
Total,46452,46107,46616,45338,45378
Canada,,,,,
,2018,2019,2020,2021,2022
Master's Degree Programs,,,,,
MDiv,1033,1063,960,910,784
MA (prof),423,458,519,524,492
MA (acad),494,533,541,301,199
MA (both),0,0,0,184,242
Subtotal MA,918,990,1060,1009,934
ThM/MTh/STM,44,61,47,69,55
Doctoral Degree Programs,,,,,
DMin,84,79,72,79,72
Other Prof Dr,40,38,47,44,53
Subtotal DMin and Other Prof Dr,124,117,119,123,125
PhD/ThD,318,309,261,244,234
Non-Degree Programs,,,,,
NonDegree,294,266,294,304,225
Total,2730,2807,2741,2659,2356
