col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Eastern Mennonite Seminary,ACCRED,C,W,VA,MBUS,1476,8,5,5,44,23,14435
Ecumenical Theological Seminary,ACCRED,I,B,MI,INTER,1255,0,2,2,65,32,15686
Eden Theological Seminary,ACCRED,I,W,MO,UCC,4842,22,6,9,93,56,15060
Emmanuel Christian Seminary,ACCRED,C,W,TN,CCHCHC,2733,13,8,11,93,65,15650
Emmanuel College,ACCRED,U,W,ON,UCCAN,5449,23,15,18,172,110,8163
Erskine Theological Seminary,ACCRED,C,W,SC,ARP,1960,7,2,6,104,45,560
Evangelia University Graduate School of Theology,ACCRED,U,A,CA,KPCAK,775,0,11,15,153,118,6030
Evangelical Theological Seminary,n/a,I,n/a,n/a,n/a,-,-,-,-,-,-,-
Franciscan School of Theology,ACCRED,I,N,CA,RC,2959,9,5,11,70,45,22552
Freed-Hardeman University Graduate School of Theology,ACCRED,U,W,TN,CHUCHR,842,1,4,4,66,43,55245
Fresno Pacific Biblical Seminary,ACCRED,U,W,CA,MBNA,3591,3,8,8,109,80,8910
Fuller Theological Seminary,ACCRED,I,W,CA,INTER,57601,147,28,75,2370,1047,22665
Garrett-Evangelical Theological Seminary,ACCRED,I,M,IL,UMC,16611,112,26,26,280,196,23005
Gateway Seminary,ACCRED,I,M,CA,SBC,13215,56,17,39,1679,806,8690
General Theological Seminary,ACCRED,I,W,NY,EPISC,7622,35,3,5,50,31,15400
George W. Truett Theological Seminary,ACCRED,U,W,TX,BAPBGCT,9535,115,19,40,346,265,20010
Georgia Central University School of Divinity,ACCRED,U,N,GA,NONDEN,1958,0,22,29,126,59,8360
GETS Theological Seminary,ASSOC,I,n/a,CA,INTER,1063,0,12,13,89,29,0
Gordon-Conwell Theological Seminary,ACCRED,I,W,MA,INTER,29414,60,23,36,1334,606,23895
Grace Mission University Graduate School,ACCRED,U,A,CA,PCINT,1472,0,1,1,241,198,3920
Grace School of Theology,ACCRED,I,W,TX,INTER,6082,0,5,13,424,250,5120
Grace Theological Seminary,ACCRED,C,N,IN,FEGRACE,1321,1,5,13,223,175,11600
"Graduate School of Theology and Ministry in Puerto Rico, St. Albert the Great",ACCRED,U,H,PR,RC,161,0,1,4,25,19,6362
Graduate Theological Union,ACCRED,I,W,CA,INTER,11764,53,11,14,172,145,0
Grand Canyon Theological Seminary,ACCRED,U,B,AZ,INTER,2956,0,11,41,474,474,11084
Grand Rapids Theological Seminary,ACCRED,C,W,MI,INTER,2630,5,6,6,173,83,14935
Harding School of Theology,ACCRED,C,W,TN,CHUCHR,2103,18,3,5,110,43,18000
Hartford International University for Religion and Peace,ACCRED,I,W,CT,INTER,6833,61,5,13,100,78,16156
Harvard University Divinity School,ACCRED,U,W,MA,INTER,41990,793,34,46,333,333,31196
Hazelip School of Theology,ACCRED,U,W,TN,CHUCHR,996,0,9,10,80,39,12960
Henry Appenzeller University,ASSOC,I,A,CA,KMCA,276,0,0,4,23,11,7500
Heritage Christian University Graduate School of Theology,ASSOC,U,n/a,AL,CHUCHR,806,0,3,5,62,37,5351
Heritage Theological Seminary,ACCRED,C,W,ON,FEVBAPT,1597,1,4,5,198,64,11400
HMS Richards Divinity School Division of Graduate Studies,ACCRED,U,W,CA,SDADV,634,0,8,8,31,8,11262
Holy Apostles College and Seminary,ACCRED,C,N,CT,RC,5009,8,6,36,409,273,31600
