All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Field Education,,,
Number,73,30,21
Average Salary,67209,65108,65744
Median Salary,68115,67943,64700
Average Salary and Housing,70570,68337,67663
Average Benefits,11030,14193,22381
Average Pension,5501,5794,4259
Total Compensation Average,87102,88325,94304
Total Compensation 25th Percentile,69561,76560,57879
Total Compensation Median,89738,89693,88073
Total Compensation 75th Percentile,111266,107445,104437
Director of Continuing Education,,,
Number,28,7,11
Average Salary,85398,69585,75784
Median Salary,85078,66280,70000
Average Salary and Housing,88251,74728,79239
Average Benefits,12815,13669,14192
Average Pension,6947,4978,7833
Total Compensation Average,108014,93376,101265
Total Compensation 25th Percentile,85193,62818,82934
Total Compensation Median,97700,87490,106240
Total Compensation 75th Percentile,121500,95850,118309
Director of Formation,,,
Number,72,17,18
Average Salary,66824,86980,94533
Median Salary,65689,78800,92000
Average Salary and Housing,72934,92708,95450
Average Benefits,12588,17213,30266
Average Pension,6795,7546,7900
Total Compensation Average,92319,117467,133617
Total Compensation 25th Percentile,71432,74895,105227
Total Compensation Median,90734,104595,117300
Total Compensation 75th Percentile,102532,152233,159795
Head Librarian - Admin./Faculty,,,
Number,71,30,26
Average Salary,70472,69328,80798
Median Salary,68002,70400,82694
Average Salary and Housing,72285,70528,81182
Average Benefits,10802,12384,11304
Average Pension,6323,5205,5645
Total Compensation Average,89412,88118,98132
Total Compensation 25th Percentile,68155,65899,75665
Total Compensation Median,85215,87021,102100
Total Compensation 75th Percentile,108001,104572,114341
