"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2022",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
ECO: A Covenant Order of Evangelical Presbyterians,6,14,2,8,3,8,7,30
Episcopal Church,73,531,72,188,74,331,120,1050
Evangelical Church in Canada,6,18,10,22,9,20,15,60
Evangelical Congregational Church,9,19,15,28,11,20,27,67
Evangelical Covenant Church,27,95,31,152,23,59,47,306
Evangelical Formosan Church,1,4,0,0,1,4,1,8
Evangelical Free Church of America,35,150,49,297,29,141,58,588
Evangelical Free Church of Canada,4,4,7,30,4,8,9,42
Evangelical Lutheran Church in America,41,672,35,185,44,276,70,1133
Evangelical Lutheran Church in Canada,3,10,5,5,6,14,10,29
Evangelical Presbyterian Church,29,117,16,74,25,68,39,259
Fellowship of Evangelical Baptist Churches in Canada,8,80,12,58,9,49,17,187
Fellowship of Grace Brethren Churches,2,16,2,29,3,7,5,52
Foursquare Gospel Church,18,39,17,49,14,41,33,129
Free Methodist Church,20,57,20,57,23,62,39,176
"Friends, Quaker",13,19,13,19,6,9,24,47
General Assembly of World Presbyterian Church,1,6,1,1,1,19,2,26
General Association of General Baptists,6,10,5,15,7,12,11,37
General Association of Regular Baptist Churches,7,12,3,3,4,9,9,24
General Baptist State Convention of North Carolina,2,10,3,8,1,2,4,20
Greek Orthodox Archdiocese of America,5,58,7,13,6,38,13,109
Heritage Reformed Congregations (USA and Canada),1,3,1,1,1,3,1,7
Independent Baptist,23,97,19,69,23,71,36,237
Independent Methodist,2,2,1,1,1,1,4,4
Inter/Multidenominational,32,94,30,126,25,62,46,282
Jewish,11,76,15,46,17,23,32,145
Korean American Presbyterian Church,13,67,11,41,14,99,20,207
Korean Evangelical Holiness Church,1,34,3,18,7,27,8,79
Korean Methodist Church in America,9,34,6,17,9,76,12,127
Korean Presbyterian Church Abroad,12,38,8,21,17,111,21,170
Korean Presbyterian Church in America (Kosin),8,28,4,17,6,45,11,90
Lutheran Church-Canada,3,10,10,20,6,9,12,39
Lutheran Church-Missouri Synod,16,363,22,110,23,404,41,877
Lutheran Congregations in Mission for Christ,4,32,2,11,2,18,4,61
"Lutheran, Other",33,72,42,78,46,155,78,305
Mennonite Brethren Church in North America,9,15,14,37,16,28,23,80
Mennonite Church Canada,5,19,8,17,7,9,13,45
Mennonite Church USA,13,53,10,34,12,24,21,111
"Mennonite, Other",12,25,19,87,15,18,34,130
"Methodist, Other",32,126,36,94,36,95,66,315
Missionary Church in Canada,3,3,5,6,3,3,8,12
Moravian Church in North America,1,9,1,2,4,10,4,21
Muslim,7,53,13,125,13,41,22,219
National Association of Congregational Christian Churches,5,28,1,1,5,6,10,35
National Baptist Convention,26,40,20,34,29,60,44,134
Nondenominational,147,2674,140,3986,131,1771,177,8431
North American Baptist Conference,8,31,10,37,8,22,16,90
North American Lutheran Church,6,14,6,20,4,13,10,47
Orthodox Church in America,3,44,8,16,5,18,12,78
