"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2022",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
Advent Christian Church,0,0,5,8,2,2,6,10
African Methodist Episcopal,64,378,31,55,48,183,80,616
African Methodist Episcopal Zion,11,57,9,18,13,44,19,119
American Baptist Churches USA,46,140,28,69,49,144,69,353
Anglican Church of Canada,10,84,17,67,17,117,23,268
"Anglican, Other",47,159,52,253,44,230,80,642
Antiochian Orthodox Christian Archdiocese of North America,4,39,3,5,4,139,6,183
Assemblies of God,59,324,65,461,57,381,96,"1,166"
Associate Reformed Presbyterian Church,6,28,5,10,9,29,15,67
Associated Gospel Churches of Canada,3,17,7,16,6,23,10,56
Augsburg Lutheran Churches,1,1,1,1,1,4,2,6
Baptist,107,"1,053",115,971,108,"1,013",154,"3,037"
Baptist Convention of Ontario and Quebec,6,17,6,13,6,26,10,56
Baptist General Association of Virginia,4,7,4,8,2,3,5,18
Baptist General Convention of Texas,5,173,4,36,6,68,7,277
Baptist Missionary Association of America,19,49,18,31,16,24,34,104
Baptist State Convention of North Carolina,3,3,1,1,2,2,4,6
"Baptist, Other",46,356,45,397,52,410,71,"1,163"
"Brethren Church (Ashland, Ohio)",2,4,2,8,4,7,5,19
Brethren in Christ Church,7,13,6,12,7,11,13,36
"Brethren, Other",10,15,12,22,11,23,22,60
Buddhist,11,57,12,57,9,11,23,125
Byzantine Catholic,4,14,3,28,4,9,7,51
Canadian Association of Lutheran Congregations,0,0,1,1,1,4,1,5
Canadian Baptists of Atlantic Canada,1,35,1,9,1,50,1,94
Canadian Baptists of Western Canada,4,9,7,12,5,10,10,31
Canadian National Baptist Convention,1,8,5,15,1,2,5,25
Canadian Reformed Churches,2,20,4,8,4,5,8,33
"Catholic, Other",13,132,15,93,15,58,31,283
Christian and Missionary Alliance,43,193,49,350,43,197,74,740
Christian Brethren (Plymouth Brethren),5,5,6,15,5,8,12,28
Christian Church (Disciples of Christ),45,188,37,120,42,162,74,470
Christian Churches and Churches of Christ,18,83,18,112,16,39,31,234
Christian Methodist Episcopal,14,37,13,17,12,36,27,90
Christian Reformed Church,29,139,29,97,30,110,51,346
"Church of God (Anderson, Indiana)",16,46,12,45,16,23,32,114
"Church of God (Cleveland, Tennessee)",10,37,9,130,14,154,21,321
Church of God in Christ,33,70,20,45,21,48,52,163
Church of God in Western Canada,2,4,1,1,0,0,3,5
Church of the Brethren,4,21,6,13,10,14,15,48
Church of the Nazarene,28,157,35,130,32,118,61,405
Churches of Christ,35,200,40,250,38,129,70,579
"Churches of Christ-Christian Churches, Other",6,15,10,41,12,18,17,74
"Churches of God, General Conference",12,20,12,40,14,41,26,101
Conference of Mennonites,2,2,2,2,2,2,5,6
Convention of Atlantic Baptist Churches,1,5,2,7,3,7,4,19
Converge Worldwide,10,36,9,42,7,27,13,105
Cooperative Baptist Fellowship,14,70,6,19,18,61,24,150
Cumberland Presbyterian Church,4,30,0,0,5,6,6,36
