Table 1.6 Number of Accredited Schools Offering Approved Degrees by Category,col_1,col_2
All Member Schools,,
Degree Category,2021-2022,2022-2023
Master's Degree Programs (MDiv),246,248
Master's Degree Programs (MA),249,251
Master's Degree Programs (ThM/STM),94,95
Doctoral Degree Programs (DMin and Other Professional Doctorate),171,174
Doctoral Degree Programs (PhD/ThD),68,69
United States,,
Degree Category,2021-2022,2022-2023
Master's Degree Programs (MDiv),213,215
Master's Degree Programs (MA),217,219
Master's Degree Programs (ThM/STM),75,76
Doctoral Degree Programs (DMin and Other Professional Doctorate),154,157
Doctoral Degree Programs (PhD/ThD),59,60
Canada,,
Degree Category,2021-2022,2022-2023
Master's Degree Programs (MDiv),33,33
Master's Degree Programs (MA),32,32
Master's Degree Programs (ThM/STM),19,19
Doctoral Degree Programs (DMin and Other Professional Doctorate),17,17
Doctoral Degree Programs (PhD/ThD),9,9
