All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Registrar,,,
Number,103,50,27
Average Salary,65100,60089,71225
Median Salary,64072,61608,70062
Average Salary and Housing,66329,-,71491
Average Benefits,7951,10107,15954
Average Pension,5337,3970,8028
Total Compensation Average,79617,74167,95475
Total Compensation 25th Percentile,60420,57291,67732
Total Compensation Median,79621,75525,96832
Total Compensation 75th Percentile,95541,91244,110586
Alumni Officer,,,
Number,28,17,16
Average Salary,77734,67259,70925
Median Salary,75000,63860,70000
Average Salary and Housing,78455,71718,72523
Average Benefits,9718,13501,7844
Average Pension,5256,5816,6436
Total Compensation Average,93430,91036,86804
Total Compensation 25th Percentile,75580,64579,71313
Total Compensation Median,92250,79791,82962
Total Compensation 75th Percentile,113418,121330,101822
