Table 4.3 Average Expenditure Per Student Head Count and Full-time Equivalent Student,col_1,col_2,col_3,col_4,col_5,col_6
"Student Head Count, All Member Schools",,,,,,
Expenditures,,2017-18,2018-19,2019-20,2020-21,2021-22
,Instruction,11532,11584,11971,11683,12720
,Research,1067,1126,1288,949,2072
,Public Service,1334,1468,1302,1348,1984
,Library,1943,1988,1907,1861,1900
,Academic Support,2439,2596,3181,3224,3079
,Student Services,1963,2162,2304,2204,2545
,Admissions,1180,1131,1102,1084,1244
,Institutional Support,8892,9153,8746,8349,8894
,Operation and Maintenance of Plant,5524,5724,6038,6566,6808
,Scholarships and Fellowships,4257,4363,4592,4759,5098
,Auxiliary Enterprises,3949,4002,3820,3708,4045
,Total Expenditures,36227,36870,37515,37312,40071
"Full-time Equivalent Student, All Member Schools",,,,,,
Expenditures,,2017-18,2018-19,2019-20,2020-21,2021-22
,Instruction,16810,17256,16916,17200,19080
,Research,1498,1626,1573,1340,2721
,Public Service,2297,2310,2468,2207,2829
,Library,2685,2765,2712,2678,2777
,Academic Support,3635,3827,4454,4695,4602
,Student Services,2651,3020,3063,3066,3720
,Admissions,1844,1756,1672,1763,1986
,Institutional Support,12977,13572,12712,12289,13608
,Operation and Maintenance of Plant,7653,8722,8550,9368,9866
,Scholarships and Fellowships,6078,6385,6447,7007,7458
,Auxiliary Enterprises,5890,5705,5199,5164,5664
,Total Expenditures,52396,54502,53157,54437,59520
