"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2022",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
"Graduate School of Theology and Ministry in Puerto
Rico, St. Albert the Great",,7,6,8,8,7,4,0,0,0,0,3,1,25,19
Graduate Theological Union,,0,0,26,19,0,0,0,0,113,113,33,13,172,145
Grand Canyon Theological Seminary,,226,226,233,233,0,0,0,0,0,0,15,15,474,474
Grand Rapids Theological Seminary,,39,22,132,60,2,1,0,0,0,0,0,0,173,83
Harding School of Theology,,44,20,47,17,0,0,18,6,0,0,1,0,110,43
"Hartford International University for Religion and
Peace",,0,0,86,68,0,0,0,0,5,5,9,5,100,78
Harvard University Divinity School,,149,149,183,183,1,1,0,0,0,0,0,0,333,333
Hazelip School of Theology,,36,21,25,12,0,0,19,6,0,0,0,0,80,39
Henry Appenzeller University,,11,7,5,2,0,0,7,2,0,0,0,0,23,11
"Heritage Christian University Graduate School of
Theology",,20,10,42,27,0,0,0,0,0,0,0,0,62,37
Heritage Theological Seminary,,59,21,0,0,50,15,0,0,0,0,89,28,198,64
"HMS Richards Divinity School Division of Graduate
Studies",,12,5,19,3,0,0,0,0,0,0,0,0,31,8
Holy Apostles College and Seminary,,37,25,356,235,0,0,0,0,0,0,16,14,409,274
Holy Cross Greek Orthodox School of Theology,,50,50,12,9,17,16,0,0,0,0,3,2,82,77
Hood Theological Seminary,,88,69,12,7,0,0,43,14,0,0,3,2,146,92
Horizon College and Seminary,,0,0,20,12,0,0,0,0,0,0,11,5,31,17
Houston Graduate School of Theology,,17,12,22,19,0,0,26,22,0,0,0,0,65,53
Howard University School of Divinity,,80,67,12,10,0,0,14,5,0,0,0,0,106,82
Huron University College Faculty of Theology,,19,14,12,7,15,7,0,0,0,0,0,0,46,28
Iliff School of Theology,,84,44,32,13,0,0,15,5,49,49,0,0,180,111
Immaculate Conception Seminary,,59,59,104,53,0,0,0,0,0,0,72,62,235,174
"Inter American University of Puerto Rico-
Metropolitan Campus",,0,0,8,5,0,0,0,0,38,38,0,0,46,43
Inter-American Adventist Theological Seminary,,0,0,402,21,0,0,86,29,23,23,0,0,511,73
Interdenominational Theological Center,,134,79,7,5,0,0,52,17,0,0,0,0,193,101
International Reformed University and Seminary,,21,15,11,8,0,0,15,5,4,4,0,0,51,32
International Theological Seminary,,52,11,15,10,7,3,24,8,0,0,0,0,98,32
James and Carolyn McAfee School of Theology,,81,57,20,14,0,0,34,11,0,0,0,0,135,82
Jesuit School of Theology,,31,30,27,20,14,11,0,0,0,0,40,38,112,99
John Leland Center for Theological Studies,,10,4,5,4,0,0,0,0,0,0,9,3,24,11
Kairos University,,323,226,342,210,0,0,104,49,103,103,0,0,872,588
Kearley Graduate School of Theology,,0,0,14,11,1,1,0,0,14,14,0,0,29,26
Kenrick-Glennon Seminary,,66,58,0,0,0,0,0,0,0,0,0,0,66,58
The King's Seminary,,102,55,90,45,0,0,75,25,0,0,0,0,267,125
Knox College,,15,9,60,25,2,1,2,1,24,24,2,1,105,61
Knox Theological Seminary,,55,33,46,26,0,0,52,17,0,0,0,0,153,76
Lancaster Theological Seminary,,39,35,3,3,0,0,30,10,0,0,1,0,73,48
Lexington Theological Seminary,,39,24,11,6,0,0,29,10,0,0,9,3,88,43
"Liberty University John W. Rawlings School of
Divinity",,2158,1609,1623,1036,45,31,1301,622,77,77,247,174,5451,3549
Lincoln Christian Seminary,,28,12,91,64,0,0,2,1,0,0,0,0,121,77
Logos Evangelical Seminary,,38,25,115,52,3,3,33,11,3,3,19,3,211,97
Logsdon Seminary of Logsdon School of Theology,,9,5,3,3,0,0,7,2,0,0,0,0,19,10
Louisville Presbyterian Theological Seminary,,49,35,28,22,0,0,22,7,0,0,0,0,99,64
"Loyola Marymount University Department of
Theological Studies",,0,0,59,51,0,0,0,0,0,0,0,0,59,51
