All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6
,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Professor,,,,,,
Number,287,319,274,165,130,143
Average Salary,81633,86180,109759,118132,99394,85561
Median Salary,80777,86482,96736,103976,85949,82752
Average Salary and Housing,85347,90652,113966,122444,100366,89156
Average Benefits,11182,10815,13593,14557,19054,14467
Average Pension,5255,6359,5856,10795,9610,8086
Total Compensation Average,101786,107827,133416,147796,129031,111710
Total Compensation 25th Percentile,76407,81135,101375,103767,102836,99473
Total Compensation Median,97867,109269,122846,133838,117364,106170
Total Compensation 75th Percentile,123490,129713,159625,174339,139477,121339
Associate Professor,,,,,,
Number,213,208,187,95,78,83
Average Salary,76261,77666,85054,93317,92667,75821
Median Salary,74222,78000,80666,92130,88847,77111
Average Salary and Housing,78403,82389,87141,99561,92914,79078
Average Benefits,10995,11438,11693,11002,20306,13539
Average Pension,4620,6389,4593,8653,7105,6779
Total Compensation Average,94019,100218,103429,119216,120326,99397
Total Compensation 25th Percentile,73426,83581,88632,95908,99062,90838
Total Compensation Median,90455,98736,101071,125350,110142,98393
Total Compensation 75th Percentile,109357,114824,120000,136269,124023,108460
Assistant Professor,,,,,,
Number,191,239,102,80,38,59
Average Salary,61208,66974,70972,75369,77416,69256
Median Salary,61000,67423,69000,72100,72990,69369
Average Salary and Housing,63279,69649,72008,78006,77466,71098
Average Benefits,8346,9779,11785,8992,18089,15625
Average Pension,4175,6275,3815,5022,6046,4451
Total Compensation Average,75801,85703,87608,92021,101603,91175
Total Compensation 25th Percentile,57919,67108,72713,71249,80929,78204
Total Compensation Median,73964,84969,89655,88513,95531,87443
Total Compensation 75th Percentile,95430,99249,104336,112500,112050,103703
Non-Ranked Faculty,,,,,,
Number,17,21,30,3,-,-
Average Salary,53306,65598,70286,104456,-,-
Median Salary,57230,70000,66439,-,-,-
Average Salary and Housing,54153,67726,74201,104456,-,-
Average Benefits,4030,9132,7479,14292,-,-
Average Pension,1436,6856,3154,8602,-,-
Total Compensation Average,59620,83716,84835,127350,-,-
Total Compensation 25th Percentile,43050,59340,55471,-,-,-
Total Compensation Median,69788,78022,75168,-,-,-
Total Compensation 75th Percentile,79188,101016,115742,-,-,-
