United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2012,,2017,,2021,,2022,
Enrollment size,N,%,N,%,N,%,N,%
< 75,69,30%,83,35%,80,34%,94,39%
75 - 150,75,33%,74,31%,76,33%,72,30%
151 - 300,43,19%,47,20%,46,20%,45,18%
301 - 500,24,11%,13,6%,14,6%,13,5%
501 - 1000,7,3%,11,5%,9,4%,9,4%
> 1000,7,3%,8,3%,8,3%,8,3%
Not Reporting,3,1%,1,0%,1,0%,3,1%
Total,228,100%,237,100%,234,100%,244,100%
