All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2012,,2017,,2021,,2022,
Enrollment size,N,%,N,%,N,%,N,%
< 75,94,35%,109,40%,104,38%,121,43%
75 - 150,86,32%,82,30%,85,31%,78,28%
151 - 300,45,17%,50,18%,49,18%,48,17%
301 - 500,25,9%,14,5%,15,6%,14,5%
501 - 1000,7,3%,11,4%,9,3%,9,3%
> 1000,7,3%,8,3%,8,3%,8,3%
Not Reporting,4,2%,2,1%,1,0%,4,1%
Total,268,100%,276,100%,271,100%,282,100%
