All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Executive Vice President,,,
Number,19,20,13
Average Salary,119588,143197,146700
Median Salary,99299,127497,142800
Average Salary and Housing,122524,-,149311
Average Benefits,14580,10119,16523
Average Pension,6668,11161,13517
Total Compensation Average,143773,164478,179352
Total Compensation 25th Percentile,90695,118352,136248
Total Compensation Median,122620,152132,185604
Total Compensation 75th Percentile,193680,189406,223891
Chief Development Officer,,,
Number,75,25,22
Average Salary,109918,104136,125866
Median Salary,98417,95434,119600
Average Salary and Housing,111368,106856,126701
Average Benefits,11345,11492,16956
Average Pension,8796,8808,10515
Total Compensation Average,131510,127157,154173
Total Compensation 25th Percentile,91246,80383,116998
Total Compensation Median,121800,113688,146120
Total Compensation 75th Percentile,154775,176203,195080
Development Professional Staff,,,
Number,66,31,51
Average Salary,71410,78078,82501
Median Salary,71386,68400,80000
Average Salary and Housing,73683,81483,82642
Average Benefits,11915,12392,13928
Average Pension,6605,4844,7190
Total Compensation Average,92204,98720,103762
Total Compensation 25th Percentile,70212,64579,81732
Total Compensation Median,90672,84084,104274
Total Compensation 75th Percentile,110085,116465,116752
Chief Financial Officer,,,
Number,85,38,33
Average Salary,109443,117041,130478
Median Salary,103030,105672,130270
Average Salary and Housing,110592,117988,131506
Average Benefits,11177,13175,14163
Average Pension,8966,7555,12120
Total Compensation Average,130736,138719,157790
Total Compensation 25th Percentile,85202,95000,98125
Total Compensation Median,122620,120000,175407
Total Compensation 75th Percentile,167327,178098,198404
