Table 4.3 Average Expenditure Per Student Head Count and Full-time Equivalent Student,col_1,col_2,col_3,col_4,col_5,col_6
"Student Head Count, Canada",,,,,,
Expenditures,,2017-18,2018-19,2019-20,2020-21,2021-22
,Instruction,12642,13422,13137,12149,13213
,Research,1158,698,4609,1417,1064
,Public Service,847,2235,1435,1218,1343
,Library,2288,2469,2065,2163,2209
,Academic Support,2226,3067,4608,1390,1718
,Student Services,1682,2297,1528,1097,1277
,Admissions,1696,1719,1789,1522,1740
,Institutional Support,9169,10352,9908,8976,8633
,Operation and Maintenance of Plant,4640,5556,6094,5533,5529
,Scholarships and Fellowships,1752,2235,3180,2554,2765
,Auxiliary Enterprises,2980,4668,2962,3892,4570
,Total Expenditures,33513,39355,39210,33941,36504
"Full-time Equivalent Student, Canada",,,,,,
Expenditures,,2017-18,2018-19,2019-20,2020-21,2021-22
,Instruction,20113,21486,20977,21432,21201
,Research,1270,760,4669,1444,1395
,Public Service,1543,3044,2284,1630,1816
,Library,3139,3183,3473,3472,3462
,Academic Support,3634,4706,6162,3114,2668
,Student Services,1415,2116,2381,1897,1836
,Admissions,2949,2633,2711,2898,2702
,Institutional Support,15039,16383,16632,16105,14597
,Operation and Maintenance of Plant,7665,9530,10651,10087,9324
,Scholarships and Fellowships,3006,3772,4610,4698,4376
,Auxiliary Enterprises,5659,7056,5087,7366,8133
,Total Expenditures,53760,61607,62827,60850,59631
