Table 2.7 Head Count Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
United States,,,,,
,2018,2019,2020,2021,2022
Master's Degree Programs,,,,,
MDiv,29138,29084,28873,27599,26304
MA (prof),12239,12530,12701,12787,12675
MA (acad),12271,11735,12330,11147,9919
MA (both),0,0,0,1572,3323
Subtotal MA,24510,24265,25031,25506,25917
ThM/MTh/STM,1739,1129,1159,1172,1165
Doctoral Degree Programs,,,,,
DMin,8442,9075,9183,10015,10582
Other Prof Dr,1157,1401,1528,1552,1455
Subtotal DMin and Other Prof Dr,9599,10476,10711,11567,12037
PhD/ThD,3719,3811,3678,3773,3879
Non-Degree Programs,,,,,
NonDegree,3943,3683,3562,3966,4006
Total,72648,72448,73014,73583,73308
Canada,,,,,
,2018,2019,2020,2021,2022
Master's Degree Programs,,,,,
MDiv,1628,1641,1514,1436,1331
MA (prof),791,830,945,1000,944
MA (acad),1140,1143,1205,538,424
MA (both),0,0,0,465,504
Subtotal MA,1931,1973,2150,2003,1872
ThM/MTh/STM,94,113,91,161,150
Doctoral Degree Programs,,,,,
DMin,253,236,217,237,215
Other Prof Dr,40,38,47,44,53
Subtotal DMin and Other Prof Dr,293,274,264,281,268
PhD/ThD,318,309,261,244,234
Non-Degree Programs,,,,,
NonDegree,892,739,786,780,688
Total,5156,5049,5066,4905,4543
