"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2022",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
"Loyola University Chicago Institute of Pastoral
Studies",,48,41,133,91,0,0,0,0,0,0,41,3,222,135
Luther Seminary,,254,204,116,73,11,8,1,0,16,16,13,4,411,305
Lutheran School of Theology at Chicago,,58,44,11,8,2,1,8,3,36,36,19,5,134,97
Lutheran Theological Seminary (SK),,4,2,3,1,0,0,2,1,0,0,4,1,13,5
Lutheran Theological Southern Seminary,,48,31,13,7,0,0,0,0,0,0,8,4,69,42
M. Christopher White School of Divinity,,87,62,0,0,0,0,39,13,0,0,0,0,126,75
Martin Luther University College,,6,6,139,113,0,0,0,0,0,0,0,0,145,119
The Master's Seminary,,449,312,148,118,21,12,91,30,9,9,19,9,737,490
McCormick Theological Seminary,,41,21,16,10,0,0,104,35,0,0,1,1,162,67
McGill University School of Religious Studies,,0,0,0,0,1,1,0,0,0,0,0,0,1,1
McMaster Divinity College,,47,28,52,30,0,0,53,53,56,56,20,6,228,173
Meadville Lombard Theological School,,58,45,3,1,0,0,0,0,0,0,0,0,61,46
Memphis Theological Seminary,,86,74,14,12,0,0,101,34,0,0,0,0,201,120
Methodist Theological School in Ohio,,75,65,25,18,0,0,35,12,0,0,5,2,140,97
Mid-America Reformed Seminary,,26,25,1,1,0,0,0,0,0,0,8,2,35,28
Midwestern Baptist Theological Seminary,,738,510,582,301,47,14,659,309,588,588,11,5,2625,1727
Missio Theological Seminary,,41,27,58,43,24,15,24,8,0,0,0,0,147,93
Montreal School of Theology,,22,17,0,0,0,0,0,0,0,0,0,0,22,17
Moody Theological Seminary,,214,126,413,291,0,0,0,0,0,0,30,14,657,431
Moravian Theological Seminary,,17,12,12,6,0,0,0,0,0,0,16,4,45,22
Mount Angel Seminary,,43,38,18,15,0,0,18,6,0,0,0,0,79,59
Mount Saint Mary's Seminary,,71,71,56,56,0,0,0,0,0,0,36,36,163,163
Multnomah Biblical Seminary,,41,29,53,32,0,0,20,7,0,0,8,2,122,70
NAIITS An Indigenous Learning Community,,13,4,17,7,0,0,0,0,11,11,0,0,41,22
Nashotah House,,35,35,38,35,22,22,11,4,0,0,9,4,115,100
Nazarene Theological Seminary,,84,47,23,13,0,0,70,23,0,0,0,0,177,83
Neal T. Jones Seminary,,24,21,21,18,0,0,20,17,0,0,0,0,65,56
New Brunswick Theological Seminary,,67,35,34,17,0,0,50,17,0,0,0,0,151,69
New Orleans Baptist Theological Seminary,,552,294,455,270,0,0,289,136,141,141,44,19,1481,860
New York Theological Seminary,,39,35,43,11,0,0,50,17,0,0,0,0,132,63
Newman Theological College,,19,14,82,26,0,0,0,0,0,0,0,0,101,40
North Park Theological Seminary,,55,25,170,95,0,0,2,1,0,0,0,0,227,121
Northeastern Seminary,,62,46,73,38,0,0,40,13,0,0,18,8,193,105
Northern Baptist Theological Seminary,,47,32,171,166,0,0,91,30,0,0,16,6,325,234
"Northwest Nazarene University Graduate School of
Theology",,33,23,27,17,0,0,0,0,0,0,0,0,60,40
Northwest Seminary,,39,39,36,36,0,0,21,7,0,0,0,0,96,82
Notre Dame Seminary,,98,91,24,19,0,0,0,0,0,0,0,0,122,110
"Oakwood University School of Theology Graduate
Department",,0,0,18,16,0,0,0,0,0,0,0,0,18,16
Oblate School of Theology,,69,58,66,28,0,0,27,9,20,20,0,0,182,115
"Oklahoma Christian University Graduate School of
Theology",,10,9,21,21,0,0,0,0,0,0,0,0,31,30
"Oral Roberts University Graduate School of
Theology and Ministry",,95,68,156,120,0,0,53,18,29,29,0,0,333,235
"Pacific Christian College of Ministry and Biblical
Studies",,15,12,37,26,0,0,0,0,0,0,0,0,52,38
Pacific Lutheran Theological Seminary,,40,39,5,5,0,0,0,0,0,0,0,0,45,44
Pacific School of Religion,,43,40,13,8,0,0,58,19,0,0,8,7,122,74
