report_year,Type,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2024,Behavioral covenant/right relations process,490,91,88,89,98,120,4
2024,Building safety and/or emergency preparedness,530,101,96,111,98,121,3
2024,Children or classroom safety,539,112,103,102,107,114,1
2024,Destructive behavior,360,73,65,60,71,89,2
2024,Discernment about when and whether to call the police,237,51,39,48,43,56,0
2024,"Employee conduct, including bullying, and/or sexual harassment",401,78,68,84,84,85,2
2024,Limited access agreements,208,39,38,45,42,44,0
2024,"Responding to threats, harassment or violence from outside groups",221,45,40,34,39,62,1
2024,Safety guidelines for gathering in person,454,86,90,94,83,99,2
2024,Youth safety,426,87,86,83,82,87,1
