report_year,Year,Own,Rent
2024,2016,843,115
2024,2017,853,119
2024,2018,851,118
2024,2019,862,113
2024,2020,856,108
2024,2021,862,105
2024,2022,853,110
2024,2023,848,113
2024,2024,853,112
