report_year,Type,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2024,Consultation with a Regional UUA Staff Member,461,87,96,89,105,82,2
2024,"Meeting, Startup, or Retreat in your Congregation Facilitated by Regional Staff",139,27,29,35,35,13,0
2024,Online Courses Through the UU Leadership Institute,148,35,30,21,25,37,0
2024,Regional Assembly,89,10,42,3,24,10,0
2024,Regional Cluster Events,113,26,14,23,22,28,0
2024,Regional Leadership School or Training,40,8,7,5,5,15,0
2024,Regional Newsletter,329,39,74,80,67,69,0
2024,Regional Youth Events and Conferences,70,14,11,11,22,12,0
2024,Resources Through the LeaderLab Database,110,22,23,12,27,26,0
2024,Side With Love Trainings,79,12,13,9,19,26,0
2024,"Webinars or Workshops, In-Person or Online",294,50,63,60,59,62,0
2024,Zoom License Discount,292,52,57,60,60,62,1
