report_year,Region,0,1,2,3,4,5,6
2024,Central-East,26,37,45,19,6,4,0
2024,MidAmerica,28,41,47,19,3,2,1
2024,New England,43,36,47,22,5,3,1
2024,Pacific Western,24,35,42,26,8,2,2
2024,Southern,30,48,54,25,1,3,1
2024,International,0,1,2,2,0,0,1
