report_year,Response,Central-East,MidAmerica,New England,Pacific Western,Southern,International,Average Number of Congregations
2024,Did not interact with UUA staff,12,20,34,11,25,3,18
2024,Not at all helpful,2,2,7,1,5,0,3
2024,Somewhat unhelpful,10,8,6,5,8,1,6
2024,Neither helpful nor unhelpful,12,8,15,9,21,1,11
2024,Somewhat helpful,51,43,55,70,61,1,47
2024,Very helpful,49,59,41,45,41,1,39
