report_year,Year,Long-Term Debt
2024,2016,113012336
2024,2017,107625433
2024,2018,103527989
2024,2019,98679079
2024,2020,89152832
2024,2021,85027276
2024,2022,85974320
2024,2023,78848720
2024,2024,69036813
