report_year,Type,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2024,2023-24 Common Read: “On Repentance and Repair” by Rabbi Danya Ruttenberg,127,29,25,31,21,21,0
2024,"2022-23 Common Read: ""Mistakes and Miracles"" by Nancy Palmer Jones and Karin Lin",108,24,15,17,27,25,0
2024,"2021-22 Common Read: ""Defund Fear"" by Zach Norris",41,5,8,6,10,12,0
2024,"2020-21 Common Read:  ""Breathe: A Letter to My Sons"" by Imani Perry",32,9,6,6,4,7,0
2024,"2019-20 Common Read: ""An Indigenous People' History of the United States""",66,11,12,20,11,12,0
2024,Braver/Wiser,143,24,27,33,28,30,1
2024,Our Whole Lives curricula,283,54,57,58,61,52,1
2024,Our Whole Lives facilitator trainings,213,42,43,31,53,44,0
2024,Renaissance Module faith development training,80,19,16,11,17,17,0
2024,Side With Love toolkits and resources,150,27,26,23,29,45,0
2024,Small group ministry guides,290,49,57,62,55,66,1
2024,Tapestry of Faith curricula,227,40,43,45,44,52,3
2024,Theme-based ministry resources,316,56,69,61,62,67,1
2024,UU Institute online trainings,156,32,36,21,34,32,1
2024,Worship Web,439,82,88,85,85,96,3
