report_year,Type,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2024,30 Days of Love,103,29,16,14,13,31,0
2024,8th Principle Workshop or Learning Circle,209,51,41,32,41,41,3
2024,Abolitionist Visions of Climate Justice,13,1,1,1,4,5,1
2024,Beloved Conversations,71,12,21,9,13,16,0
2024,Beyond Categorical Thinking,50,9,9,9,10,13,0
2024,Book Club/Group,415,82,76,86,75,92,4
2024,Building the World We Dream About Curriculum,10,3,2,1,2,2,0
2024,Clear policies and procedures about how decisions are made and communicated,203,34,45,40,31,51,2
2024,Conversations for Liberation,27,6,5,4,7,5,0
2024,Cultivating Climate Resilience through Disaster Response & Community Care,47,8,7,7,11,14,0
2024,Dismantling White Supremacy Workshops / Resources,159,26,27,28,34,43,1
2024,Encouragement of caucus groups for marginalized identities (e.g. Community of Communities model),78,15,14,9,20,20,0
2024,"Formed community partnerships with outside groups (such as Black Lives Matter chapters, migrant rights groups, NAACP, locally organized anti-racist groups)",306,54,60,62,53,76,1
2024,Green Sanctuary 2030: Mobilizing for Climate Justice,98,24,16,19,14,25,0
2024,Intercultural Competence and Sensitivity,72,14,15,11,13,19,0
2024,"Leadership development training that includes a DEI (diversity, equity and inclusion) dimension",112,24,20,19,23,24,2
2024,Mosaic,20,2,6,6,1,5,0
2024,Recruitment and outreach programs,72,15,11,16,7,22,1
2024,Revised/Updated hiring practices based on an understanding of structural racism,63,12,14,13,14,9,1
2024,Speaking up for Trans Lives 101,63,7,14,10,12,20,0
2024,Taking a Collective Breath/Reconstruction,3,0,1,1,0,1,0
2024,Welcoming Congregation Refresher,117,16,26,22,18,35,0
2024,Widening the Circle,115,23,19,20,29,23,1
