report_year,Year,Endowment and Reserves
2024,2016,791364894
2024,2017,793388259
2024,2018,881492081
2024,2019,920528677
2024,2020,937237752
2024,2021,978929380
2024,2022,1139991220
2024,2023,1071248736
2024,2024,1138938442
