report_year,Type,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2024,Allies for Disability Equity,2,1,0,1,0,0,0
2024,Allies for Gender Equity,11,0,0,3,2,6,0
2024,Allies for Immigration Equity,14,2,3,1,5,3,0
2024,Allies for Indigenous Sovereignty,6,1,1,2,1,1,0
2024,Allies for LGBTQIA Equity,30,6,3,8,3,10,0
2024,Allies for Racial Equity,25,0,4,7,5,9,0
2024,Asian/Pacific Islander,1,1,0,0,0,0,0
2024,Black/African Diaspora,5,1,0,0,0,4,0
2024,Black/Indigenous/People of Color (BIPOC),52,12,4,5,20,11,0
2024,Disabled People/People with Disabilities,10,4,2,2,1,1,0
2024,Indigenous/First Nations,6,0,0,1,2,3,0
2024,Latinx/Hispanic,6,1,0,0,1,4,0
2024,LGBTQIA,105,20,19,19,21,26,0
2024,Men/Male,166,26,28,23,57,31,1
2024,Transgender/Non-Binary,37,4,8,5,10,10,0
2024,White,9,2,1,1,3,2,0
2024,Women/Female,188,29,39,29,49,41,1
2024,Young Adults,90,17,15,11,25,21,1
2024,Youth,133,20,27,28,28,28,2
