report_year,Year,Pledging Income,Total Expenses
2024,2014,156447505,245649494
2024,2015,158500454,249292495
2024,2016,161097781,249125472
2024,2017,161996650,232981271
2024,2018,163448862,220871588
2024,2019,171176246,229539890
2024,2020,172698913,231537472
2024,2021,172117496,235985309
2024,2022,171199197,223697000
2024,2023,170926932,242637542
2024,2024,169235084,253171290
