report_year,Year,Average Attendance,Participation (All Ages),Participation (Children & Youth only)
2024,2014,"96,412",-,-
2024,2015,"95,010",-,-
2024,2016,"91,552",-,-
2024,2017,"90,829",-,-
2024,2018,"88,314",-,-
2024,2019,"84,578",-,-
2024,2020,"90,140",-,-
2024,2021,-,"81,270 (70,890 - 91,650)","14,318 (5,786 - 22,850)"
2024,2022,-,"74,463 (64,551 - 84,375)","13,673 (5,021 - 22,325)"
2024,2023,-,"76,886 (67,022 - 86,750)","14,697 (5,769 - 23,625)"
2024,2024,-,"80,095 (70,015 - 90,175)","15,445 (6,265 - 24,625)"
