report_year,x,Total Participation
2024,2014,96412
2024,2015,95010
2024,2016,91552
2024,2017,90829
2024,2018,88314
2024,2019,84578
2024,2020,90140
2024,2021,81270
2024,2022,74463
2024,2023,76886
2024,2024,80095
