report_year,Year,Members,Non-Member Friends,Religious Education Enrollment
2024,2014,154372,185199,49084
2024,2015,153422,191190,46938
2024,2016,151070,98803,44240
2024,2017,149893,87237,42550
2024,2018,150768,76480,40006
2024,2019,149683,72405,37670
2024,2020,147797,63866,34089
2024,2021,143909,62838,22080
2024,2022,137407,55964,21383
2024,2023,131563,59261,19604
2024,2024,130360,56015,20070
