report_year,Type,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2024,Church management materials and guides,246,32,52,43,59,59,1
2024,"Communications, website, or social media resources",346,66,67,71,64,76,2
2024,"Congregational staff benefits, compensation, and HR resources",442,77,88,95,93,89,0
2024,"Email Lists (e.g. Side with Love, Create Climate Justice, Love Resists, UU the Vote, UPLIFT Action, UU Leaders, REACH)",313,58,65,66,62,61,1
2024,Faithify crowd funding platform,52,9,9,4,10,19,1
2024,Health Emergency Related Resources (e.g. pandemic guidance),121,22,25,27,22,25,0
2024,inSpirit Books and Gifts / UUA Bookstore,447,83,91,85,90,96,2
2024,"Leadership development, Leader-Lab, or governance resources",326,55,66,56,71,76,2
2024,"Outreach, growth, and membership guides or materials",159,27,29,26,40,37,0
2024,"SideWithLove.org justice trainings, blogs, worship and organizing resources",150,26,29,32,24,39,0
2024,Stewardship For Us consultants,60,11,16,14,12,7,0
2024,Stewardship or fundraising resources,149,28,29,30,25,37,0
2024,UU Institute online trainings,150,33,32,19,31,34,1
2024,UUA social media,231,42,45,50,38,55,1
