report_year,Year,Central-East,MidAmerica,New England,Pacific Western,Southern
2024,2014,1545,1550,1350,1531,1518
2024,2015,1585,1572,1385,1579,1526
2024,2016,1653,1656,1464,1617,1563
2024,2017,1614,1688,1481,1685,1606
2024,2018,1698,1732,1528,1719,1702
2024,2019,1807,1761,1556,1765,1877
2024,2020,1912,1842,1699,1826,1915
2024,2021,1973,1876,1748,1923,1852
2024,2022,2040,1960,1682,2059,2014
2024,2023,2066,2158,1982,2265,2045
2024,2024,2148,2155,2030,2217,2143
