report_year,Year,Central-East,MidAmerica,New England,Pacific Western,Southern
2024,2014,32516,29095,32083,30254,30424
2024,2015,31574,29110,31770,30148,30820
2024,2016,30832,28523,30974,29678,31063
2024,2017,30481,28285,30645,29380,31102
2024,2018,30587,28328,30488,29696,31669
2024,2019,30389,28039,30058,29491,31706
2024,2020,29831,27841,29717,29136,31272
2024,2021,29183,27066,29449,28196,30015
2024,2022,28037,26043,28406,26805,28116
2024,2023,27127,25086,27425,25261,26664
2024,2024,26088,24912,27452,24938,26970
