report_year,Year,Total,Central-East,MidAmerica,New England,Pacific Western,Southern
2024,2014,1013,196,183,235,186,213
2024,2015,1019,196,188,236,186,213
2024,2016,1020,196,187,236,186,215
2024,2017,1017,196,187,235,185,214
2024,2018,1015,196,186,234,185,214
2024,2019,1014,197,187,234,183,213
2024,2020,1010,193,187,234,183,213
2024,2021,1007,190,187,232,184,214
2024,2022,1007,190,187,233,184,213
2024,2023,1005,189,187,233,184,212
2024,2024,1000,187,187,233,182,211
