report_year,Year,Pledging Units,Average Pledge
2024,2014,107290,1458
2024,2015,106209,1492
2024,2016,102166,1577
2024,2017,101215,1601
2024,2018,99421,1644
2024,2019,99974,1712
2024,2020,95935,1800
2024,2021,93894,1833
2024,2022,89885,1905
2024,2023,83329,2051
2024,2024,81274,2082
