report_year,Demographic,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2024,% Members and Friends BIPOC,"5-9% (8,272-14,890)","5-9% (1,529-2,752)","1-4% (318-1,272)","1-4% (290-1,161)","5-9% (1,530-2,754)","5-9% (1,667-3,001)",10-24% (388-931)
2024,% Members and Friends LGBTQ+,"10-24% (16,525-39,660)","10-24% (3,055-7,332)","10-24% (3,169-7,606)","10-24% (2,902-6,966)","10-24% (3,060-7,344)","10-24% (3,329-7,989)",5-9% (194-349)
2024,Paid Full/Part-time Staff,4246,770,800,917,974,741,44
2024,Paid Full/Part-time Staff BIPOC,697,171,89,82,207,136,12
2024,Admin/Facilities Staff BIPOC,433,95,60,44,148,78,8
2024,Religious Professionals Staff BIPOC,264,76,29,38,59,58,4
2024,Board/Standing Committee Positions,5864,1061,1128,1303,1053,1250,69
2024,Board/Standing Committee Positions BIPOC,366,89,44,45,81,95,12
2024,% of Congregations Participating,76%,80%,86%,77%,84%,82%,48%
