report_year,Year,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2024,2018,982 / 53,196 / 0,180 / 6,208 / 26,182 / 3,206 / 8,10 / 10
2024,2019,993 / 41,192 / 5,183 / 4,214 / 20,182 / 1,211 / 2,11 / 9
2024,2020,973 / 57,187 / 6,180 / 7,206 / 28,179 / 4,210 / 3,11 / 9
2024,2021,974 / 53,184 / 6,183 / 4,208 / 24,179 / 5,207 / 7,13 / 7
2024,2022,970 / 57,183 / 7,179 / 8,208 / 25,182 / 2,205 / 8,13 / 7
2024,2023,976 / 49,185 / 4,180 / 7,212 / 21,180 / 4,206 / 6,13 / 7
2024,2024,981 / 39,181 / 6,181 / 6,219 / 14,182 / 0,206 / 5,12 / 8
