col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2010",,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial(cid:13)(cid:10)
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,3,,6,,2,,2,,5,,9,,6,
African Methodist Episcopal,,78,,580,,19,,33,,54,,179,,91,
African Methodist Episcopal Zion,,27,,118,,5,,9,,18,,51,,35,
American Baptist Churches USA,,66,,389,,27,,62,,60,,273,,82,
Anglican Church of Canada,,7,,12,,0,,0,,14,,31,,18,
"Anglican, Other",,29,,151,,14,,41,,37,,143,,50,
Assemblies of God,,65,,370,,41,,288,,63,,510,,100,
Associate Reformed Presbyterian Church,,10,,69,,6,,12,,9,,53,,16,
Associated Gospel Churches of Canada,,2,,3,,2,,2,,1,,1,,4,
Baptist,,100,,1644,,62,,507,,108,,1359,,134,
Baptist Convention of Ontario and Quebec,,1,,1,,0,,0,,2,,7,,3,
Baptist General Association of Virginia,,2,,55,,1,,14,,3,,19,,3,
Baptist General Conference,,29,,134,,19,,106,,32,,176,,42,
Baptist General Convention of Texas,,6,,330,,1,,7,,4,,153,,8,
Baptist Missionary Association of America,,27,,91,,14,,26,,20,,36,,40,
Baptist State Convention of North Carolina,,3,,35,,1,,2,,1,,3,,4,
"Brethren Church (Ashland, Ohio)",,5,,15,,3,,6,,5,,25,,7,
Brethren in Christ Church,,8,,17,,5,,7,,4,,7,,10,
Buddhist,,2,,5,,4,,4,,6,,13,,10,
Byzantine Catholic Archeparchy of Pittsburgh,,1,,10,,1,,1,,3,,6,,4,
Canadian Baptist of Western Canada,,0,,0,,0,,0,,1,,1,,1,
Canadian Convention of Southern Baptists,,0,,0,,0,,0,,1,,1,,1,
Canadian Reformed Churches,,1,,4,,1,,1,,1,,1,,1,
Christian and Missionary Alliance,,37,,197,,21,,134,,29,,233,,47,
Christian Brethren (Plymouth Brethren),,6,,9,,2,,3,,10,,15,,13,
Christian Church (Disciples of Christ),,69,,423,,21,,49,,66,,181,,91,
Christian Churches and Churches of Christ,,30,,223,,17,,136,,26,,286,,38,
Christian Methodist Episcopal,,28,,90,,4,,4,,17,,52,,34,
Christian Reformed Church,,27,,203,,10,,67,,31,,120,,44,
"Church of God (Anderson, Indiana)",,26,,84,,8,,43,,24,,76,,37,
"Church of God (Cleveland, Tennessee)",,18,,112,,11,,90,,18,,60,,29,
Church of God in Christ,,36,,104,,12,,21,,28,,64,,49,
Church of the Brethren,,9,,61,,8,,23,,18,,27,,28,
Church of the Nazarene,,39,,339,,20,,141,,40,,183,,62,
Churches of Christ,,36,,256,,14,,129,,45,,252,,59,
"Churches of God, General Conference",,21,,44,,12,,26,,22,,42,,40,
Conference of Mennonites,,2,,3,,1,,1,,2,,3,,3,
Conservative Baptist Association of America,,15,,57,,11,,42,,18,,114,,23,
Convention of Atlantic Baptist Churches,,1,,1,,0,,0,,2,,3,,3,
Cooperative Baptist Fellowship,,13,,121,,3,,4,,16,,43,,23,
Cumberland Presbyterian Church,,9,,47,,2,,2,,5,,8,,14,
Episcopal Church,,80,,701,,35,,110,,92,,683,,120,
Evangelical Church in Canada,,0,,0,,0,,0,,1,,1,,1,
Evangelical Congregational Church,,11,,29,,6,,9,,12,,18,,19,
Evangelical Covenant Church,,22,,187,,13,,97,,25,,137,,34,
Evangelical Formosan Church,,4,,10,,0,,0,,2,,12,,5,
Evangelical Free Church of America,,35,,240,,22,,171,,33,,355,,49,
Evangelical Free Church of Canada,,0,,0,,0,,0,,1,,1,,1,
Evangelical Lutheran Church in America,,67,,1272,,29,,89,,74,,717,,100,
