col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2010",,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial(cid:13)(cid:10)
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,2,,31,,0,,0,,7,,39,,7,
Evangelical Presbyterian Church,,0,,0,,0,,0,,1,,1,,1,
Fellowship of Evangelical Baptist Churches in Canada,,6,,29,,4,,6,,8,,76,,11,
Fellowship of Grace Brethren Churches,,0,,0,,0,,0,,1,,1,,1,
Foursquare Gospel Church,,1,,1,,0,,0,,4,,6,,4,
Free Methodist Church,,2,,3,,0,,0,,5,,8,,6,
"Friends, Quaker",,0,,0,,0,,0,,0,,0,,0,
General Association of General Baptists,,0,,0,,0,,0,,0,,0,,0,
General Association of Regular Baptist Churches,,0,,0,,0,,0,,0,,0,,0,
General Baptist State Convention of North Carolina,,0,,0,,0,,0,,0,,0,,0,
General Church of New Jerusalem,,0,,0,,0,,0,,0,,0,,0,
Greek Orthodox Archdiocese of America,,0,,0,,0,,0,,1,,1,,1,
Heritage Reformed Congregations (USA and Canada),,0,,0,,0,,0,,0,,0,,0,
Independent Baptist,,1,,1,,0,,0,,5,,6,,6,
Independent Methodist,,1,,2,,0,,0,,2,,3,,2,
Inter/Multidenominational,,1,,1,,1,,1,,2,,2,,3,
Jewish,,0,,0,,0,,0,,6,,10,,6,
Korean American Presbyterian Church,,2,,8,,1,,2,,3,,47,,4,
Lutheran Church-Canada,,6,,27,,2,,7,,12,,35,,15,
Lutheran Church-Missouri Synod,,1,,7,,0,,0,,2,,2,,2,
"Lutheran, Other",,4,,5,,0,,0,,5,,9,,6,
Mennonite Brethren Church in North America,,8,,22,,4,,20,,10,,61,,11,
Mennonite Church Canada,,5,,8,,3,,4,,12,,48,,14,
Mennonite Church USA,,0,,0,,0,,0,,1,,1,,1,
"Mennonite, Other",,5,,9,,1,,6,,7,,12,,8,
Missionary Church in Canada,,3,,5,,1,,1,,3,,6,,4,
Moravian Church in North America,,0,,0,,0,,0,,2,,2,,2,
Muslim,,0,,0,,0,,0,,1,,1,,1,
National Association of Congregational Christian Churches,,0,,0,,0,,0,,0,,0,,0,
National Baptist Convention,,0,,0,,0,,0,,0,,0,,0,
Nondenominational,,12,,54,,7,,23,,16,,123,,17,
North American Baptist Conference,,6,,15,,6,,12,,6,,8,,8,
Orthodox Church in America,,0,,0,,0,,0,,1,,1,,1,
Orthodox Presbyterian,,0,,0,,0,,0,,0,,0,,0,
"Orthodox, Other",,0,,0,,1,,1,,9,,17,,10,
Other,,19,,313,,10,,77,,27,,722,,31,
Pentecostal Assemblies of Canada,,9,,27,,6,,19,,18,,111,,19,
Presbyterian Church (U.S.A.),,1,,10,,0,,0,,3,,6,,3,
Presbyterian Church in America,,1,,2,,0,,0,,3,,4,,3,
Presbyterian Church in Canada,,13,,118,,6,,20,,15,,110,,19,
Progressive National Baptist Convention,,0,,0,,0,,0,,0,,0,,0,
Reformed Church in America,,1,,1,,0,,0,,0,,0,,1,
Reformed Church in Canada,,3,,5,,0,,0,,5,,16,,6,
Reformed Episcopal Church,,0,,0,,0,,0,,0,,0,,0,
Reformed Presbyterian,,0,,0,,0,,0,,2,,3,,2,
Religious Society of Friends,,0,,0,,0,,0,,0,,0,,0,
Roman Catholic,,8,,148,,8,,152,,19,,428,,22,
Salvation Army,,5,,10,,2,,2,,13,,30,,16,
Seventh Day Baptist General Conference,,1,,1,,0,,0,,0,,0,,1,
