col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2010",,,,,,,,,,,,,,,
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial(cid:13)(cid:10)
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,3,,32,,0,,0,,9,,43,,10,
Evangelical Presbyterian Church,,26,,110,,10,,36,,22,,114,,36,
Fellowship of Evangelical Baptist Churches in Canada,,6,,29,,4,,6,,10,,78,,13,
Fellowship of Grace Brethren Churches,,5,,10,,3,,4,,7,,22,,8,
Foursquare Gospel Church,,20,,55,,11,,49,,22,,66,,28,
Free Methodist Church,,16,,60,,8,,17,,23,,70,,33,
"Friends, Quaker",,11,,17,,3,,14,,10,,19,,17,
General Association of General Baptists,,4,,15,,3,,5,,8,,22,,8,
General Association of Regular Baptist Churches,,6,,9,,3,,13,,8,,32,,12,
General Baptist State Convention of North Carolina,,3,,17,,2,,7,,1,,1,,3,
General Church of New Jerusalem,,0,,0,,0,,0,,1,,1,,1,
Greek Orthodox Archdiocese of America,,4,,97,,2,,2,,15,,38,,19,
Heritage Reformed Congregations (USA and Canada),,1,,5,,1,,6,,0,,0,,1,
Independent Baptist,,33,,70,,16,,27,,37,,123,,51,
Independent Methodist,,16,,46,,5,,12,,18,,133,,26,
Inter/Multidenominational,,33,,305,,20,,207,,26,,351,,45,
Jewish,,8,,14,,4,,4,,28,,75,,36,
Korean American Presbyterian Church,,18,,171,,9,,71,,23,,204,,32,
Lutheran Church-Canada,,7,,30,,2,,7,,14,,45,,17,
Lutheran Church-Missouri Synod,,26,,560,,14,,44,,37,,444,,52,
"Lutheran, Other",,43,,106,,15,,38,,44,,139,,64,
Mennonite Brethren Church in North America,,12,,29,,10,,35,,17,,78,,22,
Mennonite Church Canada,,6,,13,,3,,4,,16,,54,,18,
Mennonite Church USA,,24,,112,,10,,28,,30,,118,,40,
"Mennonite, Other",,14,,33,,4,,10,,22,,39,,25,
Missionary Church in Canada,,4,,6,,3,,3,,8,,13,,10,
Moravian Church in North America,,5,,17,,2,,4,,13,,15,,14,
Muslim,,2,,3,,2,,3,,17,,77,,18,
National Association of Congregational Christian Churches,,11,,18,,4,,5,,11,,16,,16,
National Baptist Convention,,43,,203,,18,,36,,35,,98,,58,
Nondenominational,,126,,"2,285",,76,,"1,523",,130,,"2,527",,154,
North American Baptist Conference,,18,,44,,13,,22,,23,,45,,29,
Orthodox Church in America,,4,,58,,0,,0,,9,,38,,10,
Orthodox Presbyterian,,15,,65,,5,,25,,19,,49,,22,
"Orthodox, Other",,9,,59,,8,,12,,37,,109,,44,
Other,,155,,"3,046",,96,,"1,705",,174,,"6,122",,197,
Pentecostal Assemblies of Canada,,13,,33,,6,,19,,23,,119,,25,
Presbyterian Church (U.S.A.),,111,,"1,587",,50,,219,,95,,"1,183",,136,
Presbyterian Church in America,,48,,872,,23,,236,,50,,669,,62,
Presbyterian Church in Canada,,14,,119,,6,,20,,19,,117,,24,
Progressive National Baptist Convention,,19,,34,,4,,5,,14,,19,,30,
Reformed Church in America,,28,,233,,12,,33,,31,,99,,46,
Reformed Church in Canada,,4,,6,,1,,1,,6,,17,,8,
Reformed Episcopal Church,,3,,19,,0,,0,,6,,9,,7,
Reformed Presbyterian,,15,,49,,7,,23,,17,,38,,27,
Religious Society of Friends,,11,,41,,5,,7,,11,,29,,20,
Roman Catholic,,80,,"2,612",,65,,"1,192",,133,,"3,157",,151,
Salvation Army,,14,,21,,9,,15,,23,,54,,32,
Seventh Day Baptist General Conference,,7,,8,,0,,0,,0,,0,,7,
