col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2009,2010
Baptist Seminary of Kentucky,n/a,Associate
Canadian Reformed Theological Seminary,n/a,Associate
China Evangelical Seminary North America,n/a,Associate
Grace Theological Seminary,Candidate,Accredited
La Sierra University School of Religion,Associate,Candidate
"Lubbock Christian University College of Biblical Studies and Behavioral
Sciences",n/a,Associate
Mid-America Reformed Seminary,Candidate,Accredited
Moody Theological Seminary and Graduate School,n/a,Associate
Northwest Nazarene University School of Theology,n/a,Associate
Puritan Reformed Seminary,n/a,Associate
Redeemer Theological Seminary,n/a,Associate
Reformed Episcopal Seminary,Associate,Candidate
Shepherd University School of Theology,n/a,Associate
St. Mark's College,n/a,Associate
St. Paul University Faculty of Theology,n/a,Associate
Urshan Graduate School of Theology,Candidate,Accredited
