Code,Church/Denomination
ADCHCH,Advent Christian Church
AME,African Methodist Episcopal
AMEZ,African Methodist Episcopal Zion
ABCUSA,American Baptist Churches USA
ANGL,Anglican Church of Canada
ANGOTH,"Anglican, Other"
AOG,Assemblies of God
ARP,Associate Reformed Presbyterian Church
ASGSPC,Associated Gospel Churches of Canada
BAPT,Baptist
BAPTOQ,Baptist Convention of Ontario and Quebec
BGAV,Baptist General Association of Virginia
BAPTGC,Baptist General Conference
BAPBGCT,Baptist General Convention of Texas
BAPTMA,Baptist Missionary Association of America
BAPTNC,Baptist State Convention of North Carolina
BRCHAO,"Brethren Church (Ashland, Ohio)"
BRCHCH,Brethren in Christ Church
BUDDHIST,Buddhist
BYZANTIN,Byzantine Catholic Archeparchy of Pittsburgh
BAPTWC,Canadian Baptist of Western Canada
CCSBAPT,Canadian Convention of Southern Baptists
CANREF,Canadian Reformed Churches
CMA,Christian and Missionary Alliance
CHPBRE,Christian Brethren (Plymouth Brethren)
DISCPL,Christian Church (Disciples of Christ)
CCHCHC,Christian Churches and Churches of Christ
CHMEEP,Christian Methodist Episcopal
CRC,Christian Reformed Church
COGAND,"Church of God (Anderson, Indiana)"
COGCLEV,"Church of God (Cleveland, Tennessee)"
CGODIC,Church of God in Christ
CHBRETH,Church of the Brethren
CHNAZ,Church of the Nazarene
CHUCHR,Churches of Christ
COGGC,"Churches of God, General Conference"
CFMENI,Conference of Mennonites
CBAPTAA,Conservative Baptist Association of America
ATLBAPT,Convention of Atlantic Baptist Churches
CBF,Cooperative Baptist Fellowship
