col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2010",,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial(cid:13)(cid:10)
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh-day Adventist,,14,,414,,13,,513,,34,,461,,43,
Southern Baptist Convention,,72,,"5,037",,39,,"1,607",,71,,"4,143",,96,
"Swedenborgian Church, General Convention",,1,,2,,1,,1,,5,,6,,5,
Unitarian Universalist,,38,,307,,9,,14,,31,,86,,53,
United Church of Canada,,0,,0,,0,,0,,9,,15,,9,
United Church of Christ,,77,,565,,12,,22,,60,,340,,89,
United Methodist Church,,111,,"3,146",,55,,350,,116,,"1,344",,142,
United Pentecostal Church International,,20,,62,,9,,39,,17,,54,,29,
Wesleyan Church,,31,,77,,14,,33,,26,,79,,48,
Wisconsin Evangelical Lutheran Synod,,0,,0,,0,,0,,8,,10,,8,
"Total 209 30,982 141 10,501 204 28,253 216",,,,,,,,,,,,,,,
