col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2010",,,,,,,,,,,,,,,
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Seabury-Western Theological Seminary,,0,0,0,0,0,0,26,9,0,0,12,0,38,9
Seattle University School of Theology and Ministry,,82,47,129,62,0,0,0,0,0,0,42,23,253,132
Seminary of the Immaculate Conception,,38,37,45,28,44,17,0,0,0,0,1,0,128,82
Seminary of the Southwest,,43,43,46,32,20,13,0,0,0,0,14,7,123,95
Seventh-day Adventist Theological Seminary,,383,342,179,29,26,20,226,75,85,85,0,0,899,551
Shaw University Divinity School,,143,130,22,20,0,0,0,0,0,0,0,0,165,150
Shepherd University School of Theology,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sioux Falls Seminary,,74,46,20,11,7,4,19,6,0,0,18,5,138,72
Southeastern Baptist Theological Seminary,,"1,031",862,193,144,140,81,160,96,151,132,117,58,"1,792","1,373"
Southern Baptist Theological Seminary,,"1,463",778,273,115,123,47,305,134,265,249,96,42,"2,525","1,365"
Southwestern Baptist Theological Seminary,,"1,030",576,734,406,48,38,242,123,217,217,219,82,"2,490","1,442"
SS. Cyril & Methodius Seminary,,30,30,3,2,6,2,0,0,0,0,1,0,40,34
St. Andrew's College,,17,17,0,0,9,9,0,0,3,3,12,12,41,41
St. Augustine's Seminary of Toronto,,56,44,35,10,18,8,0,0,0,0,79,26,188,88
St. Bernard's School of Theology and Ministry,,20,11,80,41,13,7,0,0,0,0,0,0,113,59
St. Charles Borromeo Seminary,,46,46,0,0,59,28,0,0,0,0,0,0,105,74
St. John Vianney Theological Seminary,,129,129,0,0,0,0,0,0,0,0,0,0,129,129
St. John's Seminary (CA),,66,66,16,8,6,2,0,0,0,0,1,1,89,77
St. John's Seminary (MA),,65,65,53,20,0,0,0,0,0,0,0,0,118,85
St. John's University School of Theology – Seminary,,13,12,32,20,34,22,0,0,5,5,20,8,104,67
St. Joseph's Seminary,,45,42,0,0,73,33,0,0,0,0,0,0,118,75
St. Mark's College,,0,0,15,0,10,0,0,0,0,0,8,0,33,0
St. Mary's Seminary and University,,69,69,20,11,50,27,0,0,0,0,91,0,230,107
St. Patrick's Seminary and University,,92,92,0,0,12,12,0,0,0,0,2,2,106,106
St. Paul University Faculty of Theology,,0,0,13,13,5,5,13,4,25,25,0,0,56,47
St. Peter's Seminary,,26,20,0,0,3,1,0,0,0,0,0,0,29,21
St. Stephen's College,,0,0,107,26,35,10,24,8,2,0,168,23,336,67
St. Tikhon's Orthodox Theological Seminary,,51,50,0,0,0,0,0,0,0,0,50,24,101,74
St. Vincent de Paul Regional Seminary,,73,73,0,0,23,23,0,0,0,0,0,0,96,96
St. Vladimir's Orthodox Theological Seminary,,46,44,0,0,11,10,0,0,3,1,0,0,60,55
Starr King School for the Ministry,,59,0,11,0,3,0,0,0,0,0,0,0,73,0
Talbot School of Theology,,434,223,169,71,331,149,198,83,84,66,0,0,"1,216",592
Taylor College and Seminary,,41,24,11,5,11,5,0,0,0,0,0,0,63,34
Toronto School of Theology,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinity College Faculty of Divinity,,40,23,0,0,33,13,5,2,26,23,30,12,134,73
Trinity Episcopal School for Ministry,,65,49,11,10,35,19,0,0,7,7,0,0,118,85
Trinity Evangelical Divinity School,,368,267,148,119,272,196,186,62,255,243,126,44,"1,355",931
Trinity Lutheran Seminary,,103,93,17,12,22,17,0,0,3,2,10,3,155,127
Turner School of Theology of Amridge University,,29,23,0,0,27,19,16,5,26,26,0,0,98,73
Tyndale University College & Seminary,,352,190,0,0,143,63,36,12,17,10,78,25,626,300
Union Presbyterian Seminary,,165,127,46,32,4,3,0,0,46,44,12,8,273,214
Union Theological Seminary,,170,156,0,0,32,25,0,0,53,53,0,0,255,234
United Theological Seminary,,136,132,1,1,12,8,184,63,0,0,27,9,360,213
United Theological Seminary of the Twin Cities,,95,64,2,1,19,17,35,12,0,0,21,0,172,94
University of Chicago Divinity School,,52,52,0,0,123,123,0,0,185,185,0,0,360,360
University of Dubuque Theological Seminary,,123,94,1,1,1,1,33,11,0,0,21,5,179,112
University of Notre Dame Department of Theology,,36,36,17,17,46,46,0,0,109,109,0,0,208,208
University of St. Mary of the Lake Mundelein Seminary,,128,120,6,6,3,3,11,4,0,0,58,56,206,189
