col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2010",,,,,,,,,,,,,,,
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial(cid:13)(cid:10)
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh-day Adventist,,15,,415,,14,,514,,39,,470,,50,
Southern Baptist Convention,,74,,"5,041",,39,,"1,607",,74,,"4,149",,99,
"Swedenborgian Church, General Convention",,1,,2,,1,,1,,5,,6,,5,
Unitarian Universalist,,43,,315,,10,,16,,37,,105,,62,
United Church of Canada,,12,,163,,3,,35,,25,,420,,30,
United Church of Christ,,79,,571,,12,,22,,61,,341,,91,
United Methodist Church,,111,,"3,146",,57,,352,,119,,"1,356",,146,
United Pentecostal Church International,,21,,64,,9,,39,,19,,60,,31,
Wesleyan Church,,31,,77,,15,,34,,28,,81,,51,
Wisconsin Evangelical Lutheran Synod,,0,,0,,0,,0,,8,,10,,8,
"Total 243 32,601 156 11,018 240 31,527 253",,,,,,,,,,,,,,,
