col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2010",,,,,,,,,,,,,,,
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Christian Theological Seminary,,120,99,46,33,8,4,19,6,0,0,20,8,213,150
Christian Witness Theological Seminary,,13,10,8,6,12,5,10,3,0,0,23,7,66,31
Church Divinity School of the Pacific,,45,39,0,0,9,8,10,3,0,0,10,5,74,55
Cincinnati Bible Seminary,,62,34,60,47,125,62,0,0,0,0,0,0,247,143
Claremont School of Theology,,68,63,2,1,89,82,11,4,193,193,3,0,366,343
Colgate Rochester Crozer Divinity School,,71,68,0,0,5,0,25,8,0,0,0,0,101,76
"Columbia International University - Seminary & School of
Missions",,213,157,98,70,55,36,71,24,0,0,73,42,510,329
Columbia Theological Seminary,,169,154,6,6,9,4,224,94,17,12,0,0,425,270
Concordia Lutheran Seminary (AB),,15,13,0,0,0,0,0,0,0,0,4,1,19,14
Concordia Lutheran Theological Seminary (ON),,14,13,0,0,2,1,0,0,0,0,5,4,21,18
Concordia Seminary (MO),,317,294,5,5,6,2,53,18,73,63,188,62,642,444
Concordia Theological Seminary (IN),,209,198,21,11,20,18,9,3,32,30,59,11,350,271
Covenant Theological Seminary,,389,289,186,101,100,32,81,27,16,6,0,0,772,455
Dallas Theological Seminary,,0,0,562,318,180,62,125,42,898,621,263,68,2028,1111
Denver Seminary,,270,170,391,225,132,59,147,49,0,0,0,0,940,503
Dominican House of Studies,,46,46,0,0,8,8,0,0,0,0,18,13,72,67
Dominican School of Philosophy and Theology,,13,10,0,0,51,49,0,0,0,0,19,14,83,73
Dominican Study Center of the Caribbean,,20,19,6,4,33,24,0,0,0,0,0,0,59,47
Drew University Theological School,,218,199,5,4,30,26,100,33,114,113,28,8,495,383
Duke University Divinity School,,443,434,0,0,48,43,0,0,66,62,16,6,573,545
Earlham School of Religion,,64,47,0,0,10,6,0,0,0,0,11,3,85,56
Eastern Mennonite Seminary,,65,34,8,2,4,2,0,0,0,0,57,14,134,52
Ecumenical Theological Seminary,,73,56,33,27,0,0,35,12,0,0,0,0,141,95
Eden Theological Seminary,,117,71,9,5,12,5,40,13,0,0,0,0,178,94
Emmanuel College of Victoria University,,46,36,25,13,9,4,6,2,43,42,12,4,141,101
Emmanuel School of Religion,,106,60,0,0,29,16,8,3,0,0,0,0,143,79
Episcopal Divinity School,,60,48,0,0,12,9,10,3,0,0,9,0,91,60
Erskine Theological Seminary,,131,78,32,18,11,6,55,18,12,7,17,6,258,133
Evangelical Seminary of Puerto Rico,,145,106,0,0,76,43,4,1,0,0,8,0,233,150
Evangelical Theological Seminary,,71,42,44,29,17,8,0,0,0,0,20,8,152,87
Florida Center for Theological Studies,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franciscan School of Theology,,3,3,25,22,25,20,0,0,0,0,11,4,64,49
Fuller Theological Seminary,,793,420,754,370,439,208,1361,458,398,378,173,43,3918,1877
Garrett-Evangelical Theological Seminary,,164,162,26,20,17,16,31,10,82,82,29,9,349,299
General Theological Seminary,,74,70,10,6,20,16,0,0,14,12,0,0,118,104
George Fox Evangelical Seminary,,93,48,93,38,30,11,141,47,0,0,23,4,380,148
"George W. Truett Theological Seminary of Baylor
University",,311,274,0,0,19,13,39,13,0,0,84,0,453,300
Golden Gate Baptist Theological Seminary,,380,234,74,43,95,42,169,56,34,34,850,285,1602,694
Gordon-Conwell Theological Seminary,,692,461,341,184,232,139,455,152,42,26,182,60,1944,1022
Grace Theological Seminary,,37,37,16,12,37,24,30,20,0,0,0,0,120,93
Graduate Theological Union,,0,0,0,0,29,24,0,0,220,220,7,4,256,248
"Grand Rapids Theological Seminary of Cornerstone
University",,68,47,117,68,37,19,0,0,5,3,31,8,258,145
Haggard Graduate School of Theology,,220,171,93,56,29,18,13,4,0,0,0,0,355,249
Harding University Graduate School of Religion,,75,35,53,17,13,7,18,6,0,0,0,0,159,65
Hartford Seminary,,0,0,0,0,83,55,25,8,0,0,50,27,158,90
Harvard University Divinity School,,149,142,0,0,173,173,0,0,44,44,1,1,367,360
Hazelip School of Theology,,60,25,16,7,28,12,0,0,0,0,2,1,106,45
