Membership Status,2001,2006,2009,2010
"Accredited United States 179 197 201 204
Canada 30 33 33 33
Total 209 230 234 237",,,,
"Candidate United States 10 6 7 6
Canada 3 1 1 1
Total 13 7 8 7",,,,
"Associate United States 16 14 6 12
Canada 5 2 2 5
Total 21 16 8 17",,,,
"Totals United States 205 217 214 222
Canada 38 36 36 39
All Schools 243 253 250 261",,,,
