"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2010",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial(cid:13)(cid:10)
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,4,,7,,2,,2,,5,,9,,7,
African Methodist Episcopal,,78,,580,,19,,33,,55,,180,,92,
African Methodist Episcopal Zion,,27,,118,,5,,9,,18,,51,,35,
American Baptist Churches USA,,67,,390,,27,,62,,61,,275,,84,
Anglican Church of Canada,,21,,154,,5,,24,,35,,269,,41,
"Anglican, Other",,32,,167,,14,,41,,42,,181,,56,
Assemblies of God,,68,,374,,41,,288,,68,,517,,106,
Associate Reformed Presbyterian Church,,10,,69,,6,,12,,9,,53,,16,
Associated Gospel Churches of Canada,,5,,17,,3,,7,,8,,16,,12,
Baptist,,106,,1736,,67,,517,,122,,1488,,149,
Baptist Convention of Ontario and Quebec,,8,,21,,0,,0,,11,,42,,12,
Baptist General Association of Virginia,,2,,55,,1,,14,,3,,19,,3,
Baptist General Conference,,33,,142,,21,,113,,36,,194,,46,
Baptist General Convention of Texas,,6,,330,,1,,7,,4,,153,,8,
Baptist Missionary Association of America,,28,,92,,15,,27,,21,,39,,41,
Baptist State Convention of North Carolina,,3,,35,,1,,2,,1,,3,,4,
"Brethren Church (Ashland, Ohio)",,5,,15,,4,,8,,6,,26,,8,
Brethren in Christ Church,,12,,25,,5,,7,,9,,20,,16,
Buddhist,,2,,5,,4,,4,,8,,19,,12,
Byzantine Catholic Archeparchy of Pittsburgh,,1,,10,,1,,1,,4,,8,,5,
Canadian Baptist of Western Canada,,4,,35,,3,,17,,6,,20,,7,
Canadian Convention of Southern Baptists,,3,,23,,1,,1,,2,,3,,5,
Canadian Reformed Churches,,3,,25,,1,,1,,5,,20,,5,
Christian and Missionary Alliance,,44,,278,,28,,168,,42,,354,,61,
Christian Brethren (Plymouth Brethren),,10,,17,,2,,3,,13,,24,,18,
Christian Church (Disciples of Christ),,69,,423,,21,,49,,66,,181,,91,
Christian Churches and Churches of Christ,,31,,224,,18,,143,,28,,292,,42,
Christian Methodist Episcopal,,28,,90,,4,,4,,18,,54,,35,
Christian Reformed Church,,34,,222,,10,,67,,39,,137,,54,
"Church of God (Anderson, Indiana)",,26,,84,,9,,44,,25,,77,,38,
"Church of God (Cleveland, Tennessee)",,19,,113,,11,,90,,18,,60,,30,
Church of God in Christ,,36,,104,,12,,21,,31,,68,,52,
Church of the Brethren,,10,,62,,8,,23,,21,,37,,32,
Church of the Nazarene,,44,,344,,21,,144,,46,,193,,69,
Churches of Christ,,39,,260,,14,,129,,48,,259,,64,
"Churches of God, General Conference",,21,,44,,13,,27,,22,,42,,41,
Conference of Mennonites,,3,,5,,1,,1,,4,,5,,5,
Conservative Baptist Association of America,,15,,57,,11,,42,,19,,115,,24,
Convention of Atlantic Baptist Churches,,2,,32,,0,,0,,4,,71,,5,
Cooperative Baptist Fellowship,,14,,122,,3,,4,,17,,44,,24,
Cumberland Presbyterian Church,,9,,47,,2,,2,,5,,8,,14,
Episcopal Church,,83,,719,,35,,110,,97,,692,,126,
Evangelical Church in Canada,,2,,2,,1,,2,,6,,13,,8,
Evangelical Congregational Church,,12,,30,,6,,9,,14,,20,,22,
Evangelical Covenant Church,,23,,188,,15,,99,,26,,139,,37,
Evangelical Formosan Church,,4,,10,,0,,0,,2,,12,,5,
Evangelical Free Church of America,,36,,241,,23,,173,,36,,360,,52,
Evangelical Free Church of Canada,,5,,9,,2,,4,,5,,19,,7,
Evangelical Lutheran Church in America,,67,,1272,,29,,89,,76,,720,,102,
