col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2010",,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial(cid:13)(cid:10)
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh-day Adventist,,1,,1,,1,,1,,5,,9,,7,
Southern Baptist Convention,,2,,4,,0,,0,,3,,6,,3,
"Swedenborgian Church, General Convention",,0,,0,,0,,0,,0,,0,,0,
Unitarian Universalist,,5,,8,,1,,2,,6,,19,,9,
United Church of Canada,,12,,163,,3,,35,,16,,405,,21,
United Church of Christ,,2,,6,,0,,0,,1,,1,,2,
United Methodist Church,,0,,0,,2,,2,,3,,12,,4,
United Pentecostal Church International,,1,,2,,0,,0,,2,,6,,2,
Wesleyan Church,,0,,0,,1,,1,,2,,2,,3,
Wisconsin Evangelical Lutheran Synod,,0,,0,,0,,0,,0,,0,,0,
"Total 34 1,619 15 517 36 3,274 37",,,,,,,,,,,,,,,
