col_0,col_1,col_2,col_3,col_4,col_5,Expenditures,col_7,LT,col_9,col_10,Library,col_12,col_13,col_14,col_15
,,,,Prov./,,E&G,Total,Invest,Faculty,,Volumes,Enrollment,,MDiv,
Name,Status,IUC,Race,State,Denom,$thousands,,$millions,FT,FTE,(000),HC,FTE,Tuition,Fees
Hartford Seminary,ACCRED,I,W,CT,INTER,4755,4755,47,10,21,84,128,82,0,0
Harvard University Divinity School,ACCRED,U,W,MA,INTER,36692,36823,639,41,51,536,339,325,25504,3198
Hazelip School of Theology,ACCRED,U,W,TN,CHUCHR,0,0,0,6,9,225,104,51,22450,0
Heritage Theological Seminary,CAND,I,W,ON,FEVBAPT,876,975,0,4,6,43,122,54,9450,0
HMS Richards Divinity School Division of Graduate Studies,ACCRED,U,W,CA,SDADV,672,672,0,10,17,257,40,14,13682,0
Holy Apostles College and Seminary,ASSOC,I,N,CT,RC,3071,3221,2,15,45,61,307,200,9600,70
Holy Cross Greek Orthodox School of Theology,ACCRED,I,W,MA,GRORTH,13463,15439,26,10,14,80,92,88,20895,3289
Hood Theological Seminary,ACCRED,I,B,NC,AMEZ,2794,2794,6,9,18,41,154,100,10185,530
Houston Graduate School of Theology,ACCRED,I,B,TX,INTER,1601,1601,0,4,8,26,154,93,11280,520
Howard University School of Divinity,ACCRED,U,B,DC,NONDEN,669,669,0,15,19,141,110,76,18988,692
Huron University College Faculty of Theology,ACCRED,C,N,ON,ANGL,1442,1442,0,9,13,157,56,37,6154,1691
Iliff School of Theology,ACCRED,I,W,CO,UMC,8090,8197,33,17,18,237,339,297,19824,345
Immaculate Conception Seminary,ACCRED,U,V,NJ,RC,4932,5239,14,15,22,81,321,239,17040,636
Institut de Formation Theologique de Montreal,ASSOC,I,W,QC,RC,756,756,0,2,3,1290,6,1,3812,0
Inter-American Adventist Theological Seminary,ACCRED,I,M,FL,SDADV,1173,1173,0,11,11,275,450,372,8400,0
Interdenominational Theological Center,ACCRED,I,B,GA,INTER,8567,8899,8,16,16,372,265,179,13000,938
International Theological Seminary,ACCRED,I,V,CA,NONDEN,894,894,0,6,10,45,73,52,11040,0
James and Carolyn McAfee School of Theology,ACCRED,U,W,GA,CBF,3027,3027,19,12,16,70,192,124,11550,0
Jesuit School of Theology of Santa Clara University,ACCRED,U,n/a,CA,RC,6253,6970,32,15,20,0,163,149,16211,100
John Leland Center for Theological Studies,ACCRED,I,M,VA,BGAV,966,966,0,4,8,17,53,32,9200,0
Kearley Graduate School of Theology,CAND,I,W,AL,CHUCHR,383,383,0,5,7,178,40,29,0,0
Kenrick-Glennon Seminary,ACCRED,I,W,MO,RC,8550,9193,17,17,21,95,63,61,23400,710
Knox College,ACCRED,I,A,ON,PCC,4185,4581,24,6,8,112,125,84,5970,1000
Knox Theological Seminary,ACCRED,I,W,FL,NONDEN,2517,2517,0,2,16,38,236,93,10270,100
Lancaster Theological Seminary,ACCRED,I,W,PA,UCC,3577,3618,17,5,14,158,92,72,16750,300
Lexington Theological Seminary,ACCRED,I,W,KY,DISCPL,2719,2719,38,3,8,100,81,41,9120,200
Lincoln Christian Seminary,ACCRED,C,N,IL,CCHCHC,1682,1828,1,12,14,112,227,117,7524,0
Logos Evangelical Seminary,ACCRED,I,A,CA,EVFORM,4056,4292,5,13,15,57,169,93,9445,0
Logsdon Seminary of Logsdon School of Theology,ACCRED,U,W,TX,BAPBGCT,2288,2288,16,9,13,56,166,89,9497,1050
Louisville Presbyterian Theological Seminary,ACCRED,I,W,KY,PCUSA,9041,10289,88,11,13,187,170,115,11400,286
Loyola Marymount University Department of Theological Studies,ACCRED,U,W,CA,RC,1275,1275,0,26,33,650,103,85,0,0
"Lubbock Christian University College of Biblical Studies and
Behavioral Sciences",CAND,U,W,TX,CHUCHR,218,218,0,8,9,129,12,4,5310,900
Luther Seminary,ACCRED,I,W,MN,ELCA,19754,21256,93,27,33,253,578,357,16000,135
Lutheran School of Theology at Chicago,ACCRED,I,W,IL,ELCA,9212,10499,43,15,21,290,214,145,15804,170
Lutheran Theological Seminary (SK),ACCRED,I,A,SK,ELCC,1137,1407,6,3,4,51,26,18,5460,3420
Lutheran Theological Seminary at Gettysburg,ACCRED,I,W,PA,ELCA,5017,7537,33,10,10,188,138,89,16000,3100
Lutheran Theological Seminary at Philadelphia,ACCRED,I,W,PA,ELCA,8343,8829,23,14,20,202,275,152,14310,490
Lutheran Theological Southern Seminary,ACCRED,I,W,SC,ELCA,5253,5908,24,7,7,119,72,52,15805,0
M. Christopher White School of Divinity,ACCRED,C,W,NC,BAPTNC,3802,3802,0,10,11,38,211,116,10260,220
Marylhurst University Religious Studies Graduate Department,ASSOC,U,W,OR,RC,120,120,0,3,5,98,11,11,23504,1000
McCormick Theological Seminary,ACCRED,I,W,IL,PCUSA,8854,9177,88,10,17,290,195,94,9585,630
McGill University Faculty of Religious Studies,ACCRED,U,N,QC,INTER,632,632,10,15,24,3720,91,75,2293,1575
McMaster Divinity College,ACCRED,I,W,ON,BAPTOQ,2990,2990,25,9,14,1492,185,154,5596,121
Meadville Lombard Theological School,ACCRED,I,W,IL,UUA,3913,3913,25,3,8,39,97,33,22320,740
Memphis Theological Seminary,ACCRED,I,B,TN,PCCUM,4726,4726,10,12,12,85,233,169,13920,160
Methodist Theological School in Ohio,ACCRED,I,W,OH,UMC,6340,7212,39,16,27,145,148,121,18270,1190
Mid-America Reformed Seminary,ACCRED,I,W,IN,INTER,1896,1896,0,5,6,40,29,29,8840,100
Midwest University Graduate School of Theology,ASSOC,I,A,MO,NONDEN,1272,1282,0,3,14,25,103,61,7200,200
