"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2015",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,5,,11,,4,,7,,4,,5,,8,
African Methodist Episcopal,,73,,530,,27,,35,,51,,206,,87,
African Methodist Episcopal Zion,,25,,80,,3,,3,,15,,45,,31,
American Baptist Churches USA,,58,,284,,23,,72,,56,,270,,80,
Anglican Church of Canada,,14,,120,,10,,31,,30,,185,,36,
"Anglican, Other",,34,,150,,14,,27,,48,,328,,66,
Assemblies of God,,73,,478,,43,,257,,69,,708,,108,
Associate Reformed Presbyterian Church,,9,,35,,5,,6,,10,,23,,14,
Associated Gospel Churches of Canada,,5,,13,,5,,6,,7,,25,,11,
Baptist,,125,,"1,653",,89,,835,,138,,"1,532",,162,
Baptist Convention of Ontario and Quebec,,7,,24,,1,,3,,8,,36,,11,
Baptist General Association of Virginia,,5,,18,,3,,7,,3,,15,,5,
Baptist General Convention of Texas,,6,,322,,5,,35,,9,,84,,11,
Baptist Missionary Association of America,,29,,93,,14,,32,,23,,51,,44,
Baptist State Convention of North Carolina,,3,,17,,2,,7,,2,,5,,3,
"Brethren Church (Ashland, Ohio)",,2,,6,,3,,10,,4,,24,,4,
Brethren in Christ Church,,11,,30,,9,,16,,8,,23,,20,
Buddhist,,9,,29,,5,,17,,10,,41,,15,
Byzantine Catholic,,3,,9,,2,,8,,5,,6,,7,
Canadian Baptist of Western Canada,,2,,17,,2,,5,,4,,14,,5,
Canadian National Baptist Convention,,2,,8,,1,,1,,0,,0,,3,
Canadian Reformed Churches,,6,,22,,2,,6,,4,,4,,8,
Christian and Missionary Alliance,,49,,266,,30,,170,,48,,362,,70,
Christian Brethren (Plymouth Brethren),,4,,4,,3,,5,,10,,21,,12,
Christian Church (Disciples of Christ),,52,,311,,22,,57,,59,,211,,79,
Christian Churches and Churches of Christ,,27,,121,,18,,104,,30,,157,,43,
Christian Methodist Episcopal,,27,,69,,12,,13,,15,,27,,36,
Christian Reformed Church,,36,,228,,18,,57,,44,,172,,61,
"Church of God (Anderson, Indiana)",,19,,45,,12,,51,,24,,55,,38,
"Church of God (Cleveland, Tennessee)",,19,,92,,9,,112,,15,,86,,27,
Church of God in Christ,,31,,88,,15,,25,,24,,44,,44,
Church of the Brethren,,16,,49,,4,,5,,17,,34,,30,
Church of the Nazarene,,33,,286,,21,,120,,42,,186,,62,
Churches of Christ,,39,,215,,28,,152,,55,,227,,75,
"Churches of God, General Conference",,19,,36,,11,,32,,19,,40,,38,
Conference of Mennonites,,3,,5,,2,,4,,6,,10,,8,
Conservative Baptist Association of America,,6,,28,,10,,19,,11,,57,,17,
Convention of Atlantic Baptist Churches,,2,,30,,1,,3,,4,,79,,5,
Converge Worldwide,,6,,35,,3,,38,,3,,22,,7,
Cooperative Baptist Fellowship,,17,,130,,2,,5,,11,,53,,18,
Cumberland Presbyterian Church,,6,,35,,1,,3,,6,,13,,10,
Episcopal Church,,79,,639,,39,,96,,83,,578,,115,
Evangelical Church in Canada,,3,,11,,3,,9,,6,,15,,11,
Evangelical Congregational Church,,12,,30,,12,,37,,16,,34,,26,
Evangelical Covenant Church,,28,,142,,14,,84,,29,,146,,42,
Evangelical Formosan Church,,3,,9,,2,,2,,2,,19,,4,
Evangelical Free Church of America,,39,,163,,27,,132,,43,,246,,64,
Evangelical Free Church of Canada,,5,,12,,3,,13,,7,,20,,8,
Evangelical Lutheran Church in America,,54,,831,,28,,132,,75,,443,,93,
