col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2014,2015
B. H. Carroll Theological Institute,Associate,Candidate
Baptist Seminary of Kentucky,Candidate,Accredited
China Evangelical Seminary North America,Candidate,Accredited
Grace Mission University Graduate School,Associate,Candidate
Grace School of Theology,Associate,Candidate
Heritage Theological Seminary,Associate,Candidate
Kearley Graduate School of Theology,Associate,Candidate
Neal T. Jones Seminary of Washington University of Virginia,Associate,Candidate
"Northwest Nazarene University School of Theology and Christian
Ministries (Graduate)",Associate,Candidate
Saint Paul University Faculty of Theology,Candidate,Accredited
St. Mark's College,Associate,Candidate
Washington Theological Union,Accredited,Terminated
