"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2015",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Salvation Army,,4,,5,,2,,3,,8,,18,,10,
Seventh Day Baptist General Conference,,0,,0,,0,,0,,1,,1,,1,
Seventh-day Adventist,,2,,4,,2,,2,,6,,11,,7,
Southern Baptist Convention,,7,,16,,2,,3,,4,,6,,10,
"Swedenborgian Church, General Convention",,0,,0,,0,,0,,0,,0,,0,
Unitarian Universalist,,3,,5,,2,,4,,3,,26,,4,
United Church of Canada,,10,,124,,7,,31,,13,,113,,16,
United Church of Christ,,1,,6,,2,,2,,1,,14,,4,
United Methodist Church,,0,,0,,1,,1,,4,,12,,5,
United Pentecostal Church International,,2,,3,,1,,1,,1,,4,,3,
Wesleyan Church,,3,,3,,0,,0,,4,,7,,5,
Wisconsin Evangelical Lutheran Synod,,0,,0,,0,,0,,0,,0,,0,
"Total 36 1,566 19 845 33 2,613 38",,,,,,,,,,,,,,,
