"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2015",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,3,,25,,1,,2,,5,,14,,5,
Evangelical Presbyterian Church,,2,,3,,0,,0,,1,,2,,2,
Fellowship of Evangelical Baptist Churches in Canada,,5,,65,,2,,12,,8,,64,,9,
Fellowship of Grace Brethren Churches,,0,,0,,0,,0,,0,,0,,0,
Foursquare Gospel Church,,2,,2,,2,,2,,3,,9,,5,
Free Methodist Church,,3,,9,,1,,6,,3,,10,,5,
"Friends, Quaker",,0,,0,,0,,0,,1,,1,,1,
General Association of General Baptists,,1,,2,,1,,2,,1,,2,,1,
General Association of Regular Baptist Churches,,0,,0,,0,,0,,0,,0,,0,
General Baptist State Convention of North Carolina,,0,,0,,0,,0,,0,,0,,0,
General Church of New Jerusalem,,0,,0,,0,,0,,1,,1,,1,
Greek Orthodox Archdiocese of America,,0,,0,,0,,0,,0,,0,,0,
Heritage Reformed Congregations (USA and Canada),,0,,0,,0,,0,,0,,0,,0,
Independent Baptist,,1,,1,,0,,0,,3,,10,,3,
Independent Methodist,,1,,1,,0,,0,,3,,4,,3,
Inter/Multidenominational,,4,,7,,2,,4,,5,,12,,8,
Jewish,,1,,1,,4,,4,,2,,3,,4,
Korean American Presbyterian Church,,1,,1,,0,,0,,6,,11,,6,
Korean Evangelical Holiness Church,,1,,1,,1,,1,,1,,1,,3,
Lutheran Church-Canada,,5,,16,,2,,7,,6,,18,,10,
Lutheran Church-Missouri Synod,,1,,4,,0,,0,,1,,2,,1,
"Lutheran, Other",,3,,3,,0,,0,,3,,6,,4,
Mennonite Brethren Church in North America,,5,,14,,3,,29,,8,,36,,10,
Mennonite Church Canada,,5,,6,,5,,18,,8,,23,,13,
Mennonite Church USA,,0,,0,,0,,0,,1,,1,,1,
"Mennonite, Other",,3,,5,,2,,6,,4,,5,,7,
Missionary Church in Canada,,4,,11,,3,,8,,5,,13,,7,
Moravian Church in North America,,0,,0,,0,,0,,2,,2,,2,
Muslim,,0,,0,,2,,12,,3,,15,,3,
National Association of Congregational Christian Churches,,0,,0,,0,,0,,0,,0,,0,
National Baptist Convention,,1,,1,,0,,0,,1,,1,,2,
Nondenominational,,14,,114,,7,,55,,14,,134,,17,
North American Baptist Conference,,2,,11,,2,,3,,5,,10,,7,
Orthodox Church in America,,0,,0,,0,,0,,0,,0,,0,
Orthodox Presbyterian,,0,,0,,0,,0,,0,,0,,0,
"Orthodox, Other",,3,,7,,0,,0,,6,,9,,8,
Other,,17,,196,,12,,147,,25,,723,,27,
Pentecostal Assemblies of Canada,,9,,65,,5,,28,,16,,121,,19,
Presbyterian Church (U.S.A.),,3,,3,,0,,0,,3,,6,,5,
Presbyterian Church in America,,3,,3,,1,,1,,2,,4,,5,
Presbyterian Church in Canada,,11,,113,,5,,8,,10,,39,,16,
Presbyterian Church International,,3,,5,,0,,0,,2,,17,,3,
Progressive National Baptist Convention,,0,,0,,0,,0,,0,,0,,0,
Reformed Church in America,,1,,1,,2,,3,,1,,2,,4,
Reformed Church in Canada,,2,,4,,1,,1,,3,,4,,4,
Reformed Episcopal Church,,1,,1,,0,,0,,0,,0,,1,
Reformed Presbyterian,,0,,0,,1,,53,,4,,9,,5,
Religious Society of Friends,,0,,0,,0,,0,,0,,0,,0,
Roman Catholic,,11,,175,,12,,197,,19,,308,,24,
