"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2015",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,4,,27,,1,,2,,7,,18,,8,
Evangelical Presbyterian Church,,30,,105,,14,,38,,23,,109,,41,
Fellowship of Evangelical Baptist Churches in Canada,,6,,66,,2,,12,,9,,66,,11,
Fellowship of Grace Brethren Churches,,3,,5,,3,,6,,10,,21,,11,
Foursquare Gospel Church,,16,,44,,14,,33,,17,,69,,28,
Free Methodist Church,,15,,65,,11,,32,,23,,87,,30,
"Friends, Quaker",,11,,14,,5,,7,,16,,34,,26,
General Association of General Baptists,,9,,16,,6,,10,,10,,28,,14,
General Association of Regular Baptist Churches,,2,,7,,1,,1,,9,,23,,10,
General Baptist State Convention of North Carolina,,2,,11,,0,,0,,1,,1,,3,
General Church of New Jerusalem,,0,,0,,0,,0,,1,,1,,1,
Greek Orthodox Archdiocese of America,,5,,86,,2,,2,,11,,46,,15,
Heritage Reformed Congregations (USA and Canada),,2,,2,,0,,0,,2,,9,,2,
Independent Baptist,,28,,88,,13,,31,,32,,95,,43,
Independent Methodist,,18,,102,,8,,13,,24,,68,,30,
Inter/Multidenominational,,37,,154,,20,,61,,31,,239,,53,
Jewish,,12,,18,,7,,7,,22,,51,,32,
Korean American Presbyterian Church,,26,,247,,11,,68,,35,,211,,39,
Korean Evangelical Holiness Church,,8,,28,,6,,12,,6,,23,,13,
Lutheran Church-Canada,,5,,16,,3,,8,,7,,19,,12,
Lutheran Church-Missouri Synod,,13,,442,,9,,45,,27,,408,,32,
"Lutheran, Other",,36,,91,,16,,35,,47,,188,,65,
Mennonite Brethren Church in North America,,9,,24,,10,,44,,16,,50,,21,
Mennonite Church Canada,,6,,7,,5,,18,,11,,27,,16,
Mennonite Church USA,,21,,90,,6,,16,,18,,62,,34,
"Mennonite, Other",,15,,28,,15,,27,,22,,44,,33,
Missionary Church in Canada,,6,,14,,4,,9,,5,,13,,10,
Moravian Church in North America,,5,,16,,1,,2,,5,,14,,7,
Muslim,,4,,10,,7,,22,,17,,126,,21,
National Association of Congregational Christian Churches,,10,,16,,1,,1,,7,,16,,14,
National Baptist Convention,,41,,109,,9,,14,,34,,81,,53,
Nondenominational,,134,,2531,,92,,2074,,130,,2624,,158,
North American Baptist Conference,,12,,30,,7,,14,,14,,27,,22,
Orthodox Church in America,,4,,20,,5,,5,,6,,8,,13,
Orthodox Presbyterian,,12,,56,,3,,6,,12,,42,,16,
"Orthodox, Other",,9,,49,,7,,7,,25,,65,,36,
Other,,161,,2781,,103,,1499,,174,,5504,,203,
Pentecostal Assemblies of Canada,,14,,74,,8,,36,,23,,140,,28,
Presbyterian Church (U.S.A.),,94,,996,,51,,179,,98,,913,,129,
Presbyterian Church in America,,53,,759,,21,,264,,51,,563,,71,
Presbyterian Church in Canada,,14,,117,,5,,8,,13,,42,,22,
Presbyterian Church International,,12,,62,,2,,12,,19,,184,,21,
Progressive National Baptist Convention,,8,,10,,3,,3,,9,,13,,17,
Reformed Church in America,,34,,225,,16,,35,,30,,121,,51,
Reformed Church in Canada,,3,,5,,1,,1,,3,,4,,5,
Reformed Episcopal Church,,3,,7,,1,,1,,3,,7,,7,
Reformed Presbyterian,,11,,60,,8,,71,,17,,57,,23,
Religious Society of Friends,,11,,33,,3,,5,,8,,18,,16,
Roman Catholic,,92,,2808,,74,,1075,,117,,2846,,154,
