col_0,col_1,col_2,col_3,col_4,col_5,Expenditures,col_7,LT,col_9,col_10,Library,col_12,col_13,col_14,col_15
,,,,Prov./,,E&G,Total,Invest,Faculty,,Volumes,Enrollment,,MDiv,
Name,Status,IUC,Race,State,Denom,$thousands,,$millions,FT,FTE,(000),HC,FTE,Tuition,Fees
China Evangelical Seminary North America,ACCRED,I,V,CA,NONDEN,1494,1494,0,5,13,17,56,30,8640,800
Christ The King Seminary,ACCRED,I,W,NY,RC,3550,4179,5,8,12,188,87,36,23200,925
Christian Theological Seminary,ACCRED,I,W,IN,DISCPL,19954,20536,118,8,10,172,141,113,15096,210
Christian Witness Theological Seminary,CAND,I,A,CA,INTER,1108,1108,0,7,11,31,92,40,7040,650
Church Divinity School of the Pacific,ACCRED,I,W,CA,EPISC,4225,4799,19,5,9,0,80,56,16800,1906
Cincinnati Bible Seminary,ACCRED,I,W,OH,CCHCHC,2981,3100,1,7,11,142,199,112,11800,900
Claremont School of Theology,ACCRED,I,W,CA,UMC,10263,10263,24,19,27,216,286,240,16920,1380
Colgate Rochester Crozer Divinity School,ACCRED,I,W,NY,ABCUSA,3872,4262,22,8,12,19,90,62,10770,260
"Columbia International University - Seminary & School of
Ministry",ACCRED,C,W,SC,INTER,5687,6151,7,19,22,148,272,185,10920,360
Columbia Theological Seminary,ACCRED,I,W,GA,PCUSA,14056,15164,206,21,26,156,298,196,12840,230
Concordia Lutheran Seminary (AB),ACCRED,I,W,AB,LUTHCA,1170,1207,4,3,4,24,11,11,6875,260
Concordia Lutheran Theological Seminary (ON),ACCRED,I,W,ON,LUTHCA,729,734,3,4,5,35,18,7,9900,63
Concordia Seminary (MO),ACCRED,I,W,MO,LUTHMS,26542,26855,98,27,35,273,573,420,23119,105
Concordia Theological Seminary (IN),ACCRED,I,W,IN,LUTHMS,12554,14337,31,25,26,182,338,258,26730,546
Covenant Theological Seminary,ACCRED,I,W,MO,PCA,9427,10021,26,18,26,95,551,363,14880,300
Dallas Theological Seminary,ACCRED,I,W,TX,INTER,36879,39659,85,57,86,254,2130,1059,14850,470
Denver Seminary,ACCRED,I,W,CO,INTER,12434,13196,15,26,41,183,929,423,14040,10
Dominican House of Studies,ACCRED,I,W,DC,RC,4276,4276,6,18,21,79,63,63,15120,125
Dominican School of Philosophy and Theology,ACCRED,I,W,CA,RC,2865,2865,1,12,14,0,57,40,16680,0
Dominican Study Center of the Caribbean,ACCRED,U,H,PR,RC,263,263,0,1,2,29,61,39,2280,400
Drew University Theological School,ACCRED,U,M,NJ,UMC,17497,18072,56,25,35,653,333,234,18200,24782
Duke University Divinity School,ACCRED,U,W,NC,UMC,17190,17190,172,47,54,439,688,619,21500,0
Earlham School of Religion,ACCRED,C,W,IN,FRNDS,2214,2255,46,7,8,383,60,39,14391,400
Eastern Mennonite Seminary,ACCRED,C,W,VA,MBUS,2221,2221,5,6,10,85,107,56,14400,165
Ecumenical Theological Seminary,ACCRED,I,W,MI,INTER,1492,1646,0,2,13,41,85,56,14559,380
Eden Theological Seminary,ACCRED,I,W,MO,UCC,5810,5810,21,10,11,93,143,91,13250,3340
Emmanuel Christian Seminary at Milligan,ACCRED,I,W,TN,CCHCHC,2496,2908,5,7,10,136,98,55,14100,600
Emmanuel College of Victoria University,ACCRED,C,W,ON,UCCAN,4619,4619,19,13,17,78,166,110,6140,1699
Episcopal Divinity School,ACCRED,I,W,MA,EPISC,7237,7273,66,4,4,72,48,35,15210,400
Erskine Theological Seminary,ACCRED,C,W,SC,ARP,2197,2209,6,7,7,193,116,57,13400,200
Evangelical Seminary of Puerto Rico,ACCRED,I,H,PR,INTER,1125,1125,1,5,6,79,225,89,4905,0
Evangelical Theological Seminary,ACCRED,I,W,PA,EVCONG,2329,2329,3,4,10,90,123,95,12432,500
Franciscan School of Theology,ACCRED,I,N,CA,RC,1940,1940,10,4,8,16,49,31,17280,80
Freed-Hardeman University Graduate School of Theology,CAND,U,W,TN,CHUCHR,655,722,1,4,5,144,68,8,0,0
Fresno Pacific Biblical Seminary,ACCRED,I,W,CA,MBNA,2086,2138,2,8,12,157,137,57,7740,45
Fuller Theological Seminary,ACCRED,I,W,CA,INTER,62105,72123,200,81,172,741,3199,1542,18240,120
Garrett-Evangelical Theological Seminary,ACCRED,I,W,IL,UMC,12711,15091,97,26,32,521,337,267,19720,760
General Theological Seminary,ACCRED,I,W,NY,EPISC,5756,7972,30,5,11,177,39,34,15000,400
George Fox Evangelical Seminary,ACCRED,C,W,OR,INTER,1912,1912,3,10,14,40,333,156,13608,510
George W. Truett Theological Seminary of Baylor University,ACCRED,U,W,TX,BAPBGCT,9526,9526,56,16,28,1993,361,280,15534,1846
Georgia Christian University School of Divinity,CAND,U,N,GA,NA,731,731,0,9,10,29,56,52,6847,300
Golden Gate Baptist Theological Seminary,ACCRED,I,W,CA,SBC,12649,13663,82,24,48,191,1357,705,6075,400
Gordon-Conwell Theological Seminary,ACCRED,I,W,MA,INTER,31772,34163,52,38,54,365,1924,973,18750,575
Grace Mission University Graduate School,CAND,U,A,CA,PCINT,1138,1138,0,3,9,27,149,84,3780,320
Grace School of Theology,CAND,I,W,TX,INTER,4100,4100,2,8,13,25,196,111,3240,434
Grace Theological Seminary,ACCRED,C,N,IN,FEGRACE,1057,1074,0,6,8,144,124,104,14010,0
Graduate Theological Union,ACCRED,I,W,CA,INTER,9124,9124,33,7,9,521,231,211,0,0
Grand Rapids Theological Seminary of Cornerstone University,ACCRED,C,W,MI,INTER,2864,2956,2,9,13,110,247,148,12526,580
Harding School of Theology,ACCRED,C,W,TN,CHUCHR,2745,2818,10,10,11,143,125,48,19376,0
