"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2015",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Salvation Army,,10,,17,,7,,24,,12,,26,,19,
Seventh Day Baptist General Conference,,4,,4,,1,,1,,2,,2,,6,
Seventh-day Adventist,,22,,443,,8,,700,,39,,653,,51,
Southern Baptist Convention,,62,,4865,,35,,1322,,59,,4765,,79,
"Swedenborgian Church, General Convention",,2,,4,,1,,1,,1,,1,,3,
Unitarian Universalist,,33,,265,,9,,12,,23,,54,,43,
United Church of Canada,,0,,0,,0,,0,,7,,11,,7,
United Church of Christ,,65,,486,,19,,40,,65,,356,,85,
United Methodist Church,,101,,2602,,59,,392,,105,,1114,,133,
United Pentecostal Church International,,24,,93,,15,,61,,21,,60,,35,
Wesleyan Church,,21,,206,,17,,107,,27,,69,,38,
Wisconsin Evangelical Lutheran Synod,,0,,0,,0,,0,,5,,7,,5,
"Total 220 28,015 162 10,639 215 27,129 229",,,,,,,,,,,,,,,
