"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2015",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,1,,2,,0,,0,,2,,4,,3,
Evangelical Presbyterian Church,,28,,102,,14,,38,,22,,107,,39,
Fellowship of Evangelical Baptist Churches in Canada,,1,,1,,0,,0,,1,,2,,2,
Fellowship of Grace Brethren Churches,,3,,5,,3,,6,,10,,21,,11,
Foursquare Gospel Church,,14,,42,,12,,31,,14,,60,,23,
Free Methodist Church,,12,,56,,10,,26,,20,,77,,25,
"Friends, Quaker",,11,,14,,5,,7,,15,,33,,25,
General Association of General Baptists,,8,,14,,5,,8,,9,,26,,13,
General Association of Regular Baptist Churches,,2,,7,,1,,1,,9,,23,,10,
General Baptist State Convention of North Carolina,,2,,11,,0,,0,,1,,1,,3,
General Church of New Jerusalem,,0,,0,,0,,0,,0,,0,,0,
Greek Orthodox Archdiocese of America,,5,,86,,2,,2,,11,,46,,15,
Heritage Reformed Congregations (USA and Canada),,2,,2,,0,,0,,2,,9,,2,
Independent Baptist,,27,,87,,13,,31,,29,,85,,40,
Independent Methodist,,17,,101,,8,,13,,21,,64,,27,
Inter/Multidenominational,,33,,147,,18,,57,,26,,227,,45,
Jewish,,11,,17,,3,,3,,20,,48,,28,
Korean American Presbyterian Church,,25,,246,,11,,68,,29,,200,,33,
Korean Evangelical Holiness Church,,7,,27,,5,,11,,5,,22,,10,
Lutheran Church-Canada,,0,,0,,1,,1,,1,,1,,2,
Lutheran Church-Missouri Synod,,12,,438,,9,,45,,26,,406,,31,
"Lutheran, Other",,33,,88,,16,,35,,44,,182,,61,
Mennonite Brethren Church in North America,,4,,10,,7,,15,,8,,14,,11,
Mennonite Church Canada,,1,,1,,0,,0,,3,,4,,3,
Mennonite Church USA,,21,,90,,6,,16,,17,,61,,33,
"Mennonite, Other",,12,,23,,13,,21,,18,,39,,26,
Missionary Church in Canada,,2,,3,,1,,1,,0,,0,,3,
Moravian Church in North America,,5,,16,,1,,2,,3,,12,,5,
Muslim,,4,,10,,5,,10,,14,,111,,18,
National Association of Congregational Christian Churches,,10,,16,,1,,1,,7,,16,,14,
National Baptist Convention,,40,,108,,9,,14,,33,,80,,51,
Nondenominational,,120,,2417,,85,,2019,,116,,2490,,141,
North American Baptist Conference,,10,,19,,5,,11,,9,,17,,15,
Orthodox Church in America,,4,,20,,5,,5,,6,,8,,13,
Orthodox Presbyterian,,12,,56,,3,,6,,12,,42,,16,
"Orthodox, Other",,6,,42,,7,,7,,19,,56,,28,
Other,,144,,2585,,91,,1352,,149,,4781,,176,
Pentecostal Assemblies of Canada,,5,,9,,3,,8,,7,,19,,9,
Presbyterian Church (U.S.A.),,91,,993,,51,,179,,95,,907,,124,
Presbyterian Church in America,,50,,756,,20,,263,,49,,559,,66,
Presbyterian Church in Canada,,3,,4,,0,,0,,3,,3,,6,
Presbyterian Church International,,9,,57,,2,,12,,17,,167,,18,
Progressive National Baptist Convention,,8,,10,,3,,3,,9,,13,,17,
Reformed Church in America,,33,,224,,14,,32,,29,,119,,47,
Reformed Church in Canada,,1,,1,,0,,0,,0,,0,,1,
Reformed Episcopal Church,,2,,6,,1,,1,,3,,7,,6,
Reformed Presbyterian,,11,,60,,7,,18,,13,,48,,18,
Religious Society of Friends,,11,,33,,3,,5,,8,,18,,16,
Roman Catholic,,81,,2633,,62,,878,,98,,2538,,130,
