Membership Status,2006,2011,2014,2015
"Accredited United States 196 206 209 210
Canada 33 34 35 36
Total 229 240 244 246",,,,
"Candidate United States 6 8 9 13
Canada 1 1 1 2
Total 7 9 10 15",,,,
"Associate United States 14 7 14 8
Canada 2 4 5 3
Total 16 11 19 11",,,,
"Totals United States 216 221 232 231
Canada 36 39 41 41
All Schools 252 260 273 272",,,,
