"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2020",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
"Pentecostal, Other",,62,,328,,36,,199,,69,,369,,96,
Presbyterian Church (U.S.A.),,88,,724,,44,,127,,90,,709,,122,
Presbyterian Church in America,,45,,661,,32,,263,,49,,666,,63,
Presbyterian Church in Canada,,11,,67,,5,,10,,11,,57,,17,
Presbyterian Church International,,15,,38,,3,,6,,12,,105,,22,
"Presbyterian, Other",,40,,218,,19,,70,,51,,299,,63,
Progressive National Baptist Convention,,8,,9,,2,,2,,9,,13,,15,
Reformed Church in America,,24,,124,,15,,26,,29,,130,,42,
Reformed Church in Canada,,2,,3,,0,,0,,3,,3,,4,
Reformed Episcopal Church,,2,,7,,1,,1,,4,,7,,6,
Reformed Presbyterian,,11,,49,,4,,9,,13,,52,,19,
"Reformed, Other",,16,,50,,5,,9,,23,,75,,25,
Religious Society of Friends,,6,,26,,2,,3,,7,,26,,11,
"Religious Society of Friends, Other",,2,,5,,0,,0,,0,,0,,2,
Roman Catholic,,87,,"2,418",,66,,"1,066",,114,,"3,148",,150,
Salvation Army,,11,,25,,10,,47,,16,,69,,25,
Seventh Day Baptist General Conference,,1,,1,,0,,0,,5,,9,,6,
Seventh-day Adventist,,29,,480,,20,,628,,47,,485,,67,
Southern Baptist Convention,,60,,"4,559",,44,,"1,660",,63,,"5,229",,87,
"Swedenborgian Church, General Convention",,0,,0,,0,,0,,2,,3,,2,
Ukrainian Orthodox Church of the USA,,2,,30,,1,,1,,2,,2,,3,
Union d'Eglises Baptistes Francaises au Canada,,0,,0,,0,,0,,2,,4,,2,
Unitarian Universalist,,34,,235,,12,,21,,24,,58,,45,
United Church of Canada,,10,,113,,6,,27,,17,,77,,22,
United Church of Christ,,59,,339,,21,,33,,54,,191,,80,
United Methodist Church,,88,,"2,001",,55,,351,,99,,"1,113",,124,
United Pentecostal Church International,,8,,30,,7,,32,,10,,35,,16,
Wesleyan Church,,29,,130,,20,,104,,34,,123,,50,
Wisconsin Evangelical Lutheran Synod,,1,,134,,2,,2,,4,,49,,5,
"Total 255 30,411 183 13,713 251 34,001 271",,,,,,,,,,,,,,,
