"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2020",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Episcopal Church,,70,,604,,31,,85,,85,,445,,115,
Evangelical Church in Canada,,4,,13,,6,,17,,10,,28,,12,
Evangelical Congregational Church,,15,,42,,5,,12,,17,,35,,27,
Evangelical Covenant Church,,29,,122,,21,,111,,33,,117,,48,
Evangelical Formosan Church,,3,,7,,2,,8,,3,,15,,4,
Evangelical Free Church of America,,44,,189,,32,,129,,39,,284,,58,
Evangelical Free Church of Canada,,5,,13,,3,,24,,7,,24,,11,
Evangelical Lutheran Church in America,,42,,852,,17,,120,,56,,353,,76,
Evangelical Lutheran Church in Canada,,4,,17,,3,,5,,5,,9,,10,
Evangelical Presbyterian Church,,21,,114,,14,,31,,25,,100,,35,
Fellowship of Evangelical Baptist Churches in Canada,,8,,82,,5,,19,,10,,93,,14,
Fellowship of Grace Brethren Churches,,3,,12,,4,,13,,4,,7,,6,
Foursquare Gospel Church,,20,,36,,15,,38,,16,,47,,33,
Free Methodist Church,,21,,54,,20,,38,,25,,69,,42,
"Friends, Quaker",,10,,13,,7,,9,,7,,11,,20,
General Association of General Baptists,,6,,8,,3,,3,,9,,15,,11,
General Association of Regular Baptist Churches,,9,,14,,0,,0,,7,,14,,12,
General Baptist State Convention of North Carolina,,2,,21,,1,,2,,2,,8,,3,
Greek Orthodox Archdiocese of America,,6,,64,,2,,2,,12,,51,,17,
Heritage Reformed Congregations (USA and Canada),,1,,4,,0,,0,,1,,4,,1,
Independent Baptist,,26,,97,,12,,19,,28,,118,,39,
Independent Methodist,,0,,0,,4,,4,,2,,3,,5,
Inter/Multidenominational,,38,,122,,21,,46,,37,,158,,57,
Jewish,,12,,88,,8,,19,,22,,55,,31,
Korean American Presbyterian Church,,17,,139,,11,,73,,18,,121,,25,
Korean Evangelical Holiness Church,,6,,11,,3,,23,,9,,24,,12,
Korean Methodist Church in America,,14,,49,,5,,17,,13,,81,,19,
Korean Presbyterian Church Abroad,,10,,42,,3,,14,,17,,141,,20,
Korean Presbyterian Church in America (Kosin),,8,,28,,3,,10,,8,,65,,13,
Lutheran Church-Canada,,6,,12,,2,,7,,11,,20,,15,
Lutheran Church-Missouri Synod,,15,,376,,12,,61,,30,,439,,40,
"Lutheran, Other",,44,,121,,18,,35,,55,,226,,76,
Mennonite Brethren Church in North America,,8,,19,,9,,27,,18,,57,,27,
Mennonite Church Canada,,3,,15,,8,,10,,7,,13,,15,
Mennonite Church USA,,13,,60,,9,,13,,15,,32,,23,
"Mennonite, Other",,21,,41,,12,,30,,17,,57,,31,
"Methodist, Other",,23,,55,,17,,33,,31,,79,,44,
Missionary Church in Canada,,3,,4,,3,,5,,3,,8,,6,
Moravian Church in North America,,5,,9,,2,,5,,9,,20,,13,
Muslim,,8,,40,,7,,37,,18,,149,,26,
National Association of Congregational Christian Churches,,3,,3,,1,,1,,9,,12,,11,
National Baptist Convention,,31,,72,,12,,23,,43,,116,,53,
Nondenominational,,144,,3089,,102,,2246,,143,,3328,,164,
North American Baptist Conference,,11,,53,,5,,19,,18,,60,,20,
Orthodox Church in America,,3,,41,,1,,1,,8,,43,,10,
Orthodox Presbyterian,,8,,50,,2,,6,,13,,58,,16,
"Orthodox, Other",,9,,38,,8,,9,,27,,101,,36,
Other,,163,,5363,,121,,3329,,180,,7293,,203,
Pentecostal Assemblies of Canada,,18,,65,,8,,18,,14,,96,,26,
