"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2020",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,4,,4,,2,,2,,2,,4,,6,
African Methodist Episcopal,,68,,381,,15,,27,,54,,201,,82,
African Methodist Episcopal Zion,,18,,84,,5,,6,,16,,51,,28,
American Baptist Churches USA,,50,,190,,21,,49,,51,,212,,72,
Anglican Church of Canada,,3,,4,,1,,1,,4,,9,,5,
"Anglican, Other",,38,,177,,24,,70,,54,,342,,70,
"Antiochian Orthodox Christian Archdiocese of North
America",,5,,24,,0,,0,,6,,154,,9,
Assemblies of God,,64,,317,,49,,269,,65,,559,,92,
Associate Reformed Presbyterian Church,,4,,25,,3,,4,,10,,38,,11,
Associated Gospel Churches of Canada,,0,,0,,0,,0,,2,,6,,2,
Baptist,,103,,"1,168",,76,,503,,114,,"1,290",,137,
Baptist Convention of Ontario and Quebec,,1,,1,,0,,0,,1,,1,,2,
Baptist General Association of Virginia,,3,,5,,3,,8,,2,,8,,4,
Baptist General Convention of Texas,,5,,241,,5,,33,,7,,78,,9,
Baptist Missionary Association of America,,26,,59,,12,,19,,21,,51,,37,
Baptist State Convention of North Carolina,,2,,6,,3,,4,,3,,4,,4,
"Baptist, Other",,35,,485,,23,,220,,41,,604,,50,
"Brethren Church (Ashland, Ohio)",,4,,5,,1,,2,,4,,5,,7,
Brethren in Christ Church,,4,,4,,4,,5,,9,,12,,11,
"Brethren, Other",,8,,12,,2,,4,,9,,19,,12,
Buddhist,,15,,50,,3,,4,,10,,21,,22,
Byzantine Catholic,,1,,12,,0,,0,,7,,36,,7,
Canadian Baptists of Atlantic Canada,,0,,0,,0,,0,,0,,0,,0,
Canadian Baptists of Western Canada,,0,,0,,0,,0,,0,,0,,0,
Canadian National Baptist Convention,,0,,0,,0,,0,,0,,0,,0,
Canadian Reformed Churches,,1,,3,,1,,5,,4,,6,,4,
"Catholic, Other",,10,,12,,8,,10,,8,,25,,17,
Christian and Missionary Alliance,,28,,125,,31,,116,,44,,249,,57,
Christian Brethren (Plymouth Brethren),,5,,7,,2,,3,,6,,14,,9,
Christian Church (Disciples of Christ),,51,,262,,17,,38,,39,,186,,71,
Christian Churches and Churches of Christ,,19,,90,,13,,82,,23,,112,,31,
Christian Methodist Episcopal,,10,,44,,7,,15,,15,,38,,23,
Christian Reformed Church,,21,,137,,11,,49,,26,,122,,36,
"Church of God (Anderson, Indiana)",,17,,38,,8,,12,,18,,30,,34,
"Church of God (Cleveland, Tennessee)",,11,,51,,12,,125,,17,,248,,20,
Church of God in Christ,,34,,81,,18,,32,,29,,70,,53,
Church of the Brethren,,8,,26,,1,,1,,12,,38,,17,
Church of the Nazarene,,34,,220,,16,,69,,39,,185,,60,
Churches of Christ,,36,,203,,21,,139,,43,,189,,63,
"Churches of Christ-Christian Churches, Other",,4,,15,,8,,10,,11,,33,,15,
"Churches of God, General Conference",,17,,36,,7,,19,,16,,43,,28,
Conference of Mennonites,,1,,2,,0,,0,,1,,2,,1,
Conservative Baptist Association of America,,9,,25,,5,,13,,14,,38,,18,
Convention of Atlantic Baptist Churches,,1,,1,,0,,0,,1,,3,,2,
Converge Worldwide,,9,,40,,8,,35,,7,,51,,9,
Cooperative Baptist Fellowship,,15,,76,,4,,7,,17,,53,,23,
Cumberland Presbyterian Church,,7,,30,,0,,0,,5,,8,,10,
ECO: A Covenant Order of Evangelical Presbyterians,,5,,16,,2,,4,,3,,19,,5,
