"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2020",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Hartford Seminary,,0,0,13,7,57,41,11,4,5,5,34,17,120,74
Harvard University Divinity School,,122,112,0,0,158,151,0,0,1,1,0,0,281,264
Hazelip School of Theology,,58,38,31,15,14,6,32,11,0,0,0,0,135,70
Henry Appenzeller University,,5,5,0,0,2,1,5,2,0,0,0,0,12,8
Heritage Theological Seminary,,60,24,0,0,52,17,0,0,0,0,71,17,183,58
"HMS Richards Divinity School Division of Graduate
Studies",,19,12,0,0,5,4,0,0,0,0,0,0,24,16
Holy Apostles College and Seminary,,17,17,41,26,312,224,0,0,0,0,12,11,382,278
Holy Cross Greek Orthodox School of Theology,,61,61,0,0,7,7,0,0,5,1,13,8,86,77
Hood Theological Seminary,,104,70,0,0,5,3,37,12,0,0,0,0,146,85
Houston Graduate School of Theology,,35,26,40,28,4,2,53,36,0,0,0,0,132,92
Howard University School of Divinity,,60,38,0,0,14,8,12,4,0,0,0,0,86,50
Huron University College Faculty of Theology,,12,9,0,0,23,11,0,0,15,13,0,0,50,33
Iliff School of Theology,,108,104,22,13,25,16,10,3,44,44,0,0,209,180
Immaculate Conception Seminary,,78,78,8,7,94,40,0,0,0,0,68,55,248,180
Institut de Formation Theologique de Montreal,,0,0,3,3,0,0,0,0,0,0,26,12,29,15
Inter-American Adventist Theological Seminary,,0,0,311,248,48,30,73,24,0,0,0,0,432,302
Interdenominational Theological Center,,215,174,9,8,0,0,60,20,1,1,0,0,285,203
International Theological Seminary,,20,8,0,0,14,3,14,5,15,5,0,0,63,21
James and Carolyn McAfee School of Theology,,68,57,16,12,6,3,35,12,0,0,0,0,125,84
Jesuit School of Theology,,35,35,0,0,30,18,0,0,12,8,54,48,131,109
John Leland Center for Theological Studies,,12,6,11,9,5,3,0,0,0,0,15,6,43,24
Kearley Graduate School of Theology,,0,0,1,0,6,3,0,0,18,18,0,0,25,21
Kenrick-Glennon Seminary,,79,79,0,0,0,0,0,0,0,0,0,0,79,79
The King's Seminary,,116,64,122,67,0,0,62,21,0,0,0,0,300,152
Knox College,,24,19,41,23,14,5,3,1,31,31,0,0,113,79
Knox Theological Seminary,,53,29,0,0,48,23,37,12,0,0,0,0,138,64
Lancaster Theological Seminary,,58,56,0,0,7,6,33,11,0,0,1,1,99,74
Lexington Theological Seminary,,49,28,0,0,4,1,22,7,0,0,0,0,75,36
Liberty University John W. Rawlings School of Divinity,,2583,1904,710,482,922,576,1049,616,100,98,0,0,5364,3676
Lincoln Christian Seminary,,36,20,114,68,44,14,17,6,0,0,0,0,211,108
Logos Evangelical Seminary,,38,24,53,22,56,24,32,11,10,9,0,0,189,90
Logsdon Seminary of Logsdon School of Theology,,38,25,9,6,1,0,16,5,0,0,0,0,64,36
Louisville Presbyterian Theological Seminary,,77,67,28,25,5,3,39,13,0,0,0,0,149,108
"Loyola Marymount University Department of Theological
Studies",,0,0,46,44,34,30,0,0,0,0,0,0,80,74
Loyola University Chicago Institute of Pastoral Studies,,41,37,128,93,0,0,0,0,0,0,29,27,198,157
Luther Seminary,,329,245,63,37,48,27,8,3,30,28,24,11,502,351
Lutheran School of Theology at Chicago,,74,66,3,3,6,4,7,2,42,42,6,5,138,122
Lutheran Theological Seminary (SK),,12,7,0,0,6,5,4,1,0,0,1,1,23,14
Lutheran Theological Southern Seminary,,58,38,2,1,9,7,0,0,0,0,0,0,69,46
M. Christopher White School of Divinity,,91,62,0,0,0,0,32,11,0,0,0,0,123,73
Martin Luther University College,,2,2,111,91,0,0,0,0,0,0,0,0,113,93
McCormick Theological Seminary,,75,41,13,6,14,8,118,39,0,0,1,1,221,95
McGill University School of Religious Studies,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McMaster Divinity College,,43,29,2,2,45,20,47,47,61,61,17,5,215,164
Meadville Lombard Theological School,,68,47,6,4,5,3,0,0,0,0,0,0,79,54
Memphis Theological Seminary,,106,70,12,12,0,0,63,21,0,0,0,0,181,103
Methodist Theological School in Ohio,,82,76,22,14,2,2,34,11,0,0,4,1,144,104
Mid-America Reformed Seminary,,24,21,0,0,0,0,0,0,0,0,0,0,24,21
