Membership Status,2011,2016,2019,2020
"Accredited United States 207 214 219 224
Canada 34 33 35 34
Total 241 247 254 258",,,,
"Candidate United States 9 11 10 5
Canada 1 2 1 1
Total 10 13 11 6",,,,
"Associate United States 7 10 7 8
Canada 4 3 3 3
Total 11 13 10 11",,,,
"Totals United States 223 235 236 237
Canada 39 38 39 38
All Schools 262 273 275 275",,,,
